date,Net_Gen_By_Fuel_MWh
2001-03-31,19369.443
2001-06-30,18200.963
2001-09-30,20419.441
2001-12-31,16114.901
2002-03-31,18261.756
2002-06-30,17989.093
2002-09-30,21541.075
2002-12-31,17213.728
2003-03-31,19067.423
2003-06-30,16213.56
2003-09-30,21556.277
2003-12-31,18472.16
2004-03-31,20246.73249
2004-06-30,19080.60771
2004-09-30,21564.7041
2004-12-31,18007.99567
2005-03-31,20579.66727
2005-06-30,17096.54701
2005-09-30,23422.50712
2005-12-31,17844.32356
2006-03-31,17919.4121
2006-06-30,17142.09764
2006-09-30,21907.64821
2006-12-31,16100.37874
2007-03-31,19483.15649
2007-06-30,18389.77881
2007-09-30,22619.04595
2007-12-31,17868.52584
2008-03-31,18510.55223
2008-06-30,17096.29549
2008-09-30,20504.30492
2008-12-31,16567.37876
2009-03-31,19121.02367
2009-06-30,15895.07919
2009-09-30,19472.23047
2009-12-31,15593.73275
2010-03-31,18747.90114
2010-06-30,17433.16891
2010-09-30,21052.72793
2010-12-31,15732.65801
2011-03-31,18187.7896
2011-06-30,15305.82171
2011-09-30,19296.39798
2011-12-31,13880.84978
2012-03-31,18131.46431
2012-06-30,15549.47133
2012-09-30,21232.32482
2012-12-31,15825.97448
2013-03-31,19294.82559
2013-06-30,17353.27545
2013-09-30,21672.54404
2013-12-31,18575.91998
2014-03-31,21919.43902
2014-06-30,17696.69974
2014-09-30,19782.8091
2014-12-31,17738.49056
2015-03-31,22229.93953
2015-06-30,19536.67449
2015-09-30,24279.3174
2015-12-31,18365.66066
2016-03-31,23340.0922
2016-06-30,21300.87846
2016-09-30,27579.16764
2016-12-31,20334.73761
2017-03-31,22531.24303
2017-06-30,21430.03971
2017-09-30,25238.26865
2017-12-31,21217.59752
2018-03-31,24541.67568
2018-06-30,21765.06373
2018-09-30,27024.5316
2018-12-31,22177.85001
2019-03-31,24717.73362
2019-06-30,22425.71283
2019-09-30,28273.04862
2019-12-31,21411.14421
2020-03-31,27342.00719
2020-06-30,24224.60804
2020-09-30,28696.33087
2020-12-31,22793.23703
2021-03-31,23831.44627
2021-06-30,21677.1262
2021-09-30,26983.71684
2021-12-31,21816.72715
