date,Net_Gen_By_Fuel_MWh
2001-03-31,0.0
2001-06-30,0.0
2001-09-30,0.0
2001-12-31,0.0
2002-03-31,0.0
2002-06-30,0.0
2002-09-30,0.0
2002-12-31,0.0
2003-03-31,0.0
2003-06-30,0.0
2003-09-30,0.0
2003-12-31,0.0
2004-03-31,0.0
2004-06-30,0.0
2004-09-30,0.0
2004-12-31,0.0
2005-03-31,0.0
2005-06-30,0.0
2005-09-30,0.0
2005-12-31,0.0
2006-03-31,0.0
2006-06-30,0.0
2006-09-30,0.0
2006-12-31,0.0
2007-03-31,0.0
2007-06-30,0.0
2007-09-30,0.0
2007-12-31,0.0
2008-03-31,0.0
2008-06-30,0.0
2008-09-30,0.0
2008-12-31,0.0
2009-03-31,0.0
2009-06-30,0.0
2009-09-30,0.0
2009-12-31,0.0
2010-03-31,0.0
2010-06-30,0.0
2010-09-30,0.0
2010-12-31,0.0
2011-03-31,0.138
2011-06-30,0.269
2011-09-30,0.286
2011-12-31,0.147
2012-03-31,0.14
2012-06-30,0.252
2012-09-30,0.291
2012-12-31,0.111
2013-03-31,0.162
2013-06-30,0.189
2013-09-30,0.262
2013-12-31,0.149
2014-03-31,0.131
2014-06-30,0.279
2014-09-30,0.196
2014-12-31,0.123
2015-03-31,0.147
2015-06-30,0.283
2015-09-30,0.242
2015-12-31,0.118
2016-03-31,0.131
2016-06-30,0.267
2016-09-30,0.222
2016-12-31,0.107
2017-03-31,0.019
2017-06-30,0.104
2017-09-30,0.255
2017-12-31,0.103
2018-03-31,0.033
2018-06-30,0.234
2018-09-30,0.159
2018-12-31,1.269
2019-03-31,7.87058
2019-06-30,13.72466
2019-09-30,14.36879
2019-12-31,7.76397
2020-03-31,7.643
2020-06-30,15.677
2020-09-30,16.35
2020-12-31,6.20201
2021-03-31,8.30453
2021-06-30,19.18262
2021-09-30,17.21081
2021-12-31,6.48117
