date,Net_Gen_By_Fuel_MWh
2001-03-31,5.11803
2001-06-30,7.41179
2001-09-30,2.32641
2001-12-31,0.671
2002-03-31,0.211
2002-06-30,1.01
2002-09-30,1.628
2002-12-31,11.754
2003-03-31,48.264
2003-06-30,42.143
2003-09-30,27.922
2003-12-31,55.64
2004-03-31,59.986
2004-06-30,36.074
2004-09-30,22.411
2004-12-31,44.791
2005-03-31,46.334
2005-06-30,36.25
2005-09-30,19.817
2005-12-31,52.204
2006-03-31,63.35588
2006-06-30,32.7058
2006-09-30,24.59745
2006-12-31,53.39421
2007-03-31,59.698
2007-06-30,34.77
2007-09-30,18.728
2007-12-31,54.392
2008-03-31,65.046
2008-06-30,66.003
2008-09-30,65.012
2008-12-31,195.45933
2009-03-31,240.032
2009-06-30,151.0194
2009-09-30,126.674
2009-12-31,223.87633
2010-03-31,256.074
2010-06-30,220.137
2010-09-30,148.107
2010-12-31,314.854
2011-03-31,328.06833
2011-06-30,227.61694
2011-09-30,175.46422
2011-12-31,380.78927
2012-03-31,486.68889
2012-06-30,282.19914
2012-09-30,193.07914
2012-12-31,334.5958
2013-03-31,503.09575
2013-06-30,353.59588
2013-09-30,164.99039
2013-12-31,368.833
2014-03-31,480.55064
2014-06-30,306.62931
2014-09-30,208.24228
2014-12-31,460.57579
2015-03-31,477.25439
2015-06-30,316.57197
2015-09-30,181.0808
2015-12-31,406.30445
2016-03-31,464.474
2016-06-30,286.419
2016-09-30,193.548
2016-12-31,487.713
2017-03-31,468.25611
2017-06-30,468.88212
2017-09-30,282.44482
2017-12-31,462.75795
2018-03-31,524.99671
2018-06-30,470.95099
2018-09-30,303.87454
2018-12-31,470.16177
2019-03-31,435.06197
2019-06-30,444.2047
2019-09-30,304.7409
2019-12-31,447.09042
2020-03-31,568.09078
2020-06-30,534.18431
2020-09-30,252.8987
2020-12-31,549.08623
2021-03-31,532.85827
2021-06-30,361.50992
2021-09-30,254.74791
2021-12-31,481.35917
