date,Net_Gen_By_Fuel_MWh
2001-03-31,0.0
2001-06-30,0.0
2001-09-30,0.0
2001-12-31,0.0
2002-03-31,0.0
2002-06-30,0.0
2002-09-30,0.0
2002-12-31,0.0
2003-03-31,0.0
2003-06-30,0.0
2003-09-30,0.0
2003-12-31,0.0
2004-03-31,0.0
2004-06-30,0.0
2004-09-30,0.0
2004-12-31,0.0
2005-03-31,0.0
2005-06-30,0.0
2005-09-30,0.0
2005-12-31,0.0
2006-03-31,0.0
2006-06-30,0.0
2006-09-30,0.0
2006-12-31,0.0
2007-03-31,0.0
2007-06-30,0.0
2007-09-30,0.0
2007-12-31,0.0
2008-03-31,0.0
2008-06-30,0.0
2008-09-30,0.0
2008-12-31,0.0
2009-03-31,0.0
2009-06-30,0.0
2009-09-30,0.0
2009-12-31,0.0
2010-03-31,0.0
2010-06-30,0.0
2010-09-30,0.0
2010-12-31,0.0
2011-03-31,0.0
2011-06-30,0.0
2011-09-30,0.0
2011-12-31,0.0
2012-03-31,0.0
2012-06-30,0.0
2012-09-30,0.0
2012-12-31,0.0
2013-03-31,0.0
2013-06-30,0.0
2013-09-30,0.0
2013-12-31,0.0
2014-03-31,0.43766
2014-06-30,0.7036
2014-09-30,0.74282
2014-12-31,0.49043
2015-03-31,0.48647
2015-06-30,0.80732
2015-09-30,0.86819
2015-12-31,0.0
2016-03-31,0.61427
2016-06-30,1.02547
2016-09-30,1.07997
2016-12-31,0.69149
2017-03-31,0.0
2017-06-30,0.0
2017-09-30,0.0
2017-12-31,0.0
2018-03-31,1.08249
2018-06-30,1.87549
2018-09-30,2.01037
2018-12-31,2.17934
2019-03-31,33.3394
2019-06-30,61.15431
2019-09-30,65.44783
2019-12-31,29.4073
2020-03-31,37.99937
2020-06-30,64.65364
2020-09-30,45.96458
2020-12-31,29.70725
2021-03-31,37.48294
2021-06-30,65.79987
2021-09-30,62.98864
2021-12-31,30.60643
