date,Net_Gen_By_Fuel_MWh
2001-03-31,70.411
2001-06-30,52.088
2001-09-30,69.11
2001-12-31,173.55
2002-03-31,114.995
2002-06-30,104.198
2002-09-30,98.302
2002-12-31,129.836
2003-03-31,125.401
2003-06-30,67.008
2003-09-30,47.847
2003-12-31,126.223
2004-03-31,186.094
2004-06-30,149.375
2004-09-30,107.84
2004-12-31,173.206
2005-03-31,190.35864
2005-06-30,162.23013
2005-09-30,118.40421
2005-12-31,246.27102
2006-03-31,243.57388
2006-06-30,163.06208
2006-09-30,106.56439
2006-12-31,245.86064
2007-03-31,241.62897
2007-06-30,138.74416
2007-09-30,115.59993
2007-12-31,258.90794
2008-03-31,230.13982
2008-06-30,150.84907
2008-09-30,144.01717
2008-12-31,437.53595
2009-03-31,605.95148
2009-06-30,404.5428
2009-09-30,327.91878
2009-12-31,887.79151
2010-03-31,735.47146
2010-06-30,769.97569
2010-09-30,586.68254
2010-12-31,1154.66335
2011-03-31,1505.50515
2011-06-30,1104.61083
2011-09-30,639.86841
2011-12-31,1361.88361
2012-03-31,1492.0443
2012-06-30,944.38894
2012-09-30,559.2343
2012-12-31,1373.43948
2013-03-31,1404.3751
2013-06-30,973.72567
2013-09-30,620.1132
2013-12-31,1435.07004
2014-03-31,1582.75531
2014-06-30,941.03264
2014-09-30,586.28094
2014-12-31,1295.68812
2015-03-31,1197.45127
2015-06-30,662.96326
2015-09-30,666.13465
2015-12-31,1230.15883
2016-03-31,1491.05342
2016-06-30,767.34352
2016-09-30,758.07353
2016-12-31,1372.86754
2017-03-31,1204.596
2017-06-30,1095.90657
2017-09-30,783.87068
2017-12-31,1236.28174
2018-03-31,1109.09433
2018-06-30,1085.10471
2018-09-30,858.60129
2018-12-31,1004.35769
2019-03-31,1063.42992
2019-06-30,1037.81019
2019-09-30,980.66985
2019-12-31,1080.90804
2020-03-31,1454.29082
2020-06-30,973.55375
2020-09-30,892.42094
2020-12-31,2192.3695
2021-03-31,2277.84766
2021-06-30,1751.37718
2021-09-30,1401.04269
2021-12-31,3018.38704
