ds,y
2001-03-31,188.385
2001-06-30,177.944
2001-09-30,217.758
2001-12-31,175.177
2002-03-31,155.087
2002-06-30,180.595
2002-09-30,225.51
2002-12-31,202.559
2003-03-31,182.861
2003-06-30,188.433
2003-09-30,225.231
2003-12-31,192.189
2004-03-31,169.68729
2004-06-30,188.51617
2004-09-30,212.38041
2004-12-31,195.41149
2005-03-31,194.92655
2005-06-30,188.95504
2005-09-30,223.44611
2005-12-31,205.40997
2006-03-31,184.36942
2006-06-30,201.06672
2006-09-30,220.62342
2006-12-31,207.80447
2007-03-31,194.11786
2007-06-30,213.61337
2007-09-30,222.51244
2007-12-31,190.2598
2008-03-31,188.64739
2008-06-30,202.73815
2008-09-30,207.23229
2008-12-31,175.4842
2009-03-31,156.39
2009-06-30,132.88106
2009-09-30,159.60229
2009-12-31,134.82527
2010-03-31,165.16435
2010-06-30,173.89877
2010-09-30,181.30655
2010-12-31,141.38014
2011-03-31,154.97115
2011-06-30,153.01482
2011-09-30,171.0643
2011-12-31,117.94125
2012-03-31,87.38412
2012-06-30,115.67829
2012-09-30,156.86617
2012-12-31,124.26955
2013-03-31,110.04254
2013-06-30,127.29823
2013-09-30,141.96637
2013-12-31,119.96139
2014-03-31,129.12961
2014-06-30,125.37513
2014-09-30,142.77324
2014-12-31,98.44639
2015-03-31,93.19606
2015-06-30,112.01779
2015-09-30,138.99385
2015-12-31,85.75649
2016-03-31,75.07102
2016-06-30,76.55219
2016-09-30,111.74324
2016-12-31,86.06024
2017-03-31,75.90916
2017-06-30,77.45285
2017-09-30,91.58802
2017-12-31,73.1852
2018-03-31,84.24461
2018-06-30,80.12512
2018-09-30,94.91371
2018-12-31,60.5975
2019-03-31,70.78737
2019-06-30,56.98595
2019-09-30,75.90142
2019-12-31,65.65976
2020-03-31,46.80095
2020-06-30,42.48408
2020-09-30,72.01903
2020-12-31,58.64069
2021-03-31,68.71447
2021-06-30,54.94865
2021-09-30,82.89686
2021-12-31,64.13747
