ds,y
2001-03-31,22.657
2001-06-30,27.693
2001-09-30,38.25
2001-12-31,34.554
2002-03-31,33.836
2002-06-30,38.418
2002-09-30,55.685
2002-12-31,30.702
2003-03-31,27.281
2003-06-30,26.824
2003-09-30,46.297
2003-12-31,20.056
2004-03-31,34.41611
2004-06-30,38.02947
2004-09-30,49.65425
2004-12-31,26.35282
2005-03-31,23.60535
2005-06-30,28.31505
2005-09-30,49.67472
2005-12-31,26.45063
2006-03-31,22.07202
2006-06-30,45.63709
2006-09-30,69.54361
2006-12-31,32.02806
2007-03-31,38.96977
2007-06-30,47.74109
2007-09-30,73.33291
2007-12-31,41.09652
2008-03-31,41.11271
2008-06-30,35.27289
2008-09-30,63.709
2008-12-31,44.94546
2009-03-31,57.66372
2009-06-30,65.02137
2009-09-30,78.1145
2009-12-31,50.65967
2010-03-31,61.36152
2010-06-30,68.37864
2010-09-30,99.68724
2010-12-31,78.04975
2011-03-31,77.53578
2011-06-30,79.02008
2011-09-30,116.29154
2011-12-31,98.26715
2012-03-31,105.47399
2012-06-30,115.42887
2012-09-30,121.99069
2012-12-31,90.7676
2013-03-31,98.14157
2013-06-30,80.40804
2013-09-30,97.77353
2013-12-31,90.10477
2014-03-31,86.96239
2014-06-30,85.25794
2014-09-30,108.08164
2014-12-31,105.79455
2015-03-31,109.51808
2015-06-30,104.73603
2015-09-30,121.08949
2015-12-31,107.38109
2016-03-31,106.11718
2016-06-30,109.44378
2016-09-30,139.25605
2016-12-31,104.79161
2017-03-31,91.37126
2017-06-30,104.30669
2017-09-30,127.95017
2017-12-31,104.70856
2018-03-31,102.76603
2018-06-30,123.75437
2018-09-30,141.58172
2018-12-31,112.44174
2019-03-31,104.32162
2019-06-30,114.85049
2019-09-30,145.12102
2019-12-31,106.20586
2020-03-31,105.72261
2020-06-30,103.10173
2020-09-30,138.14834
2020-12-31,99.80757
2021-03-31,97.3552
2021-06-30,101.10961
2021-09-30,125.02826
2021-12-31,109.85271
