ds,y
2001-03-31,9.481
2001-06-30,10.967
2001-09-30,11.243
2001-12-31,9.427
2002-03-31,10.972
2002-06-30,10.262
2002-09-30,11.138
2002-12-31,10.864
2003-03-31,10.355
2003-06-30,9.143
2003-09-30,11.361
2003-12-31,10.863
2004-03-31,11.40917
2004-06-30,9.14994
2004-09-30,11.31177
2004-12-31,10.48857
2005-03-31,9.39519
2005-06-30,9.90577
2005-09-30,10.34536
2005-12-31,10.47019
2006-03-31,10.11009
2006-06-30,9.60416
2006-09-30,11.28926
2006-12-31,10.793
2007-03-31,10.49827
2007-06-30,10.3491
2007-09-30,11.19381
2007-12-31,10.07899
2008-03-31,10.15783
2008-06-30,9.21708
2008-09-30,10.68325
2008-12-31,10.34376
2009-03-31,9.27483
2009-06-30,8.32295
2009-09-30,9.01288
2009-12-31,9.4742
2010-03-31,9.0631
2010-06-30,9.38285
2010-09-30,9.74404
2010-12-31,8.74043
2011-03-31,9.81238
2011-06-30,9.136
2011-09-30,9.1097
2011-12-31,8.51516
2012-03-31,8.34498
2012-06-30,6.09372
2012-09-30,7.6554
2012-12-31,5.81843
2013-03-31,4.73459
2013-06-30,5.60857
2013-09-30,7.02659
2013-12-31,4.00713
2014-03-31,4.2958
2014-06-30,5.26269
2014-09-30,7.16234
2014-12-31,3.97561
2015-03-31,3.72988
2015-06-30,3.83692
2015-09-30,3.73347
2015-12-31,3.2701
2016-03-31,3.83833
2016-06-30,3.72121
2016-09-30,3.67799
2016-12-31,3.84437
2017-03-31,3.73211
2017-06-30,3.17177
2017-09-30,3.56984
2017-12-31,3.9155
2018-03-31,3.75496
2018-06-30,3.76131
2018-09-30,3.89604
2018-12-31,3.1608
2019-03-31,3.70098
2019-06-30,3.6639
2019-09-30,0.87499
2019-12-31,3.85446
2020-03-31,3.37236
2020-06-30,3.1226
2020-09-30,3.2623
2020-12-31,3.71564
2021-03-31,3.38626
2021-06-30,3.73363
2021-09-30,3.70566
2021-12-31,3.56395
