ds,y
2001-03-31,13.191
2001-06-30,8.731
2001-09-30,9.439
2001-12-31,4.063
2002-03-31,6.24
2002-06-30,10.151
2002-09-30,12.246
2002-12-31,10.963
2003-03-31,14.373
2003-06-30,8.563
2003-09-30,14.709
2003-12-31,7.352
2004-03-31,14.96025
2004-06-30,12.63145
2004-09-30,14.76301
2004-12-31,11.17183
2005-03-31,15.44491
2005-06-30,9.66448
2005-09-30,17.61698
2005-12-31,13.97405
2006-03-31,14.87098
2006-06-30,12.96322
2006-09-30,14.19159
2006-12-31,14.59782
2007-03-31,14.55286
2007-06-30,13.09243
2007-09-30,18.49617
2007-12-31,17.67065
2008-03-31,18.54695
2008-06-30,13.12131
2008-09-30,14.51728
2008-12-31,14.65869
2009-03-31,11.84456
2009-06-30,4.78912
2009-09-30,7.57819
2009-12-31,9.7026
2010-03-31,10.39496
2010-06-30,6.59189
2010-09-30,8.54478
2010-12-31,4.72111
2011-03-31,5.01489
2011-06-30,5.59463
2011-09-30,5.46373
2011-12-31,1.80773
2012-03-31,1.92491
2012-06-30,4.47255
2012-09-30,6.08004
2012-12-31,4.90657
2013-03-31,3.01616
2013-06-30,4.57375
2013-09-30,5.78443
2013-12-31,4.87999
2014-03-31,5.69784
2014-06-30,2.92343
2014-09-30,1.44709
2014-12-31,0.16915
2015-03-31,4.08133
2015-06-30,0.9257
2015-09-30,1.81465
2015-12-31,0.32745
2016-03-31,2.56848
2016-06-30,0.16299
2016-09-30,2.95845
2016-12-31,0.1693
2017-03-31,0.72414
2017-06-30,0.45488
2017-09-30,2.22052
2017-12-31,1.40484
2018-03-31,1.26296
2018-06-30,0.66487
2018-09-30,2.23691
2018-12-31,0.13175
2019-03-31,0.63258
2019-06-30,0.04545
2019-09-30,1.40575
2019-12-31,0.09553
2020-03-31,0.0
2020-06-30,0.0
2020-09-30,1.30115
2020-12-31,0.65489
2021-03-31,1.92278
2021-06-30,0.54564
2021-09-30,1.84647
2021-12-31,0.22669
