ds,y
2001-03-31,3.178
2001-06-30,4.038
2001-09-30,6.252
2001-12-31,3.375
2002-03-31,3.892
2002-06-30,3.983
2002-09-30,6.314
2002-12-31,3.51
2003-03-31,1.125
2003-06-30,1.062
2003-09-30,2.186
2003-12-31,1.219
2004-03-31,1.08629
2004-06-30,1.30216
2004-09-30,2.26503
2004-12-31,4.13445
2005-03-31,5.03033
2005-06-30,5.37701
2005-09-30,7.39092
2005-12-31,3.85578
2006-03-31,2.1375
2006-06-30,4.24993
2006-09-30,6.87409
2006-12-31,6.70412
2007-03-31,7.81395
2007-06-30,6.90628
2007-09-30,5.60085
2007-12-31,6.20467
2008-03-31,5.7978
2008-06-30,2.54703
2008-09-30,4.8111
2008-12-31,4.96216
2009-03-31,3.79451
2009-06-30,2.65112
2009-09-30,4.53171
2009-12-31,2.44873
2010-03-31,1.91331
2010-06-30,2.36922
2010-09-30,7.19384
2010-12-31,1.84567
2011-03-31,1.59113
2011-06-30,1.30443
2011-09-30,6.73799
2011-12-31,0.76942
2012-03-31,1.80429
2012-06-30,4.91934
2012-09-30,9.54622
2012-12-31,3.29361
2013-03-31,2.97607
2013-06-30,2.77857
2013-09-30,7.03975
2013-12-31,3.48801
2014-03-31,1.83938
2014-06-30,3.49023
2014-09-30,4.13944
2014-12-31,3.95181
2015-03-31,5.23441
2015-06-30,4.79855
2015-09-30,7.79563
2015-12-31,4.49606
2016-03-31,6.26663
2016-06-30,7.02957
2016-09-30,10.16265
2016-12-31,4.85981
2017-03-31,4.49151
2017-06-30,7.66251
2017-09-30,16.48784
2017-12-31,13.42827
2018-03-31,12.37722
2018-06-30,17.28471
2018-09-30,20.93932
2018-12-31,12.6888
2019-03-31,14.9744
2019-06-30,13.94524
2019-09-30,23.59522
2019-12-31,15.91902
2020-03-31,16.22122
2020-06-30,15.00125
2020-09-30,19.45146
2020-12-31,15.3736
2021-03-31,9.55838
2021-06-30,13.00498
2021-09-30,19.93434
2021-12-31,15.73818
