ds,y
2001-03-31,27.244
2001-06-30,27.001
2001-09-30,47.035
2001-12-31,40.698
2002-03-31,36.218
2002-06-30,36.101
2002-09-30,55.405
2002-12-31,28.672
2003-03-31,33.76
2003-06-30,24.695
2003-09-30,33.062
2003-12-31,21.529
2004-03-31,35.18236
2004-06-30,36.9477
2004-09-30,38.09672
2004-12-31,33.12764
2005-03-31,29.32915
2005-06-30,33.67437
2005-09-30,53.01883
2005-12-31,24.97316
2006-03-31,27.07932
2006-06-30,30.63015
2006-09-30,48.55371
2006-12-31,29.53334
2007-03-31,29.78219
2007-06-30,29.8073
2007-09-30,42.34094
2007-12-31,28.35391
2008-03-31,29.19345
2008-06-30,20.68642
2008-09-30,31.74775
2008-12-31,17.7041
2009-03-31,25.06896
2009-06-30,17.68544
2009-09-30,27.26766
2009-12-31,20.16337
2010-03-31,19.49669
2010-06-30,30.02275
2010-09-30,45.59796
2010-12-31,26.41347
2011-03-31,28.70636
2011-06-30,25.24976
2011-09-30,42.44955
2011-12-31,29.17972
2012-03-31,49.45691
2012-06-30,67.23037
2012-09-30,62.73114
2012-12-31,27.19457
2013-03-31,29.19987
2013-06-30,36.74173
2013-09-30,37.99139
2013-12-31,30.48898
2014-03-31,43.72292
2014-06-30,32.81598
2014-09-30,30.5074
2014-12-31,32.86101
2015-03-31,51.3411
2015-06-30,42.79576
2015-09-30,51.84498
2015-12-31,53.61962
2016-03-31,61.39171
2016-06-30,77.50489
2016-09-30,85.04077
2016-12-31,59.48071
2017-03-31,58.9271
2017-06-30,58.86812
2017-09-30,70.28627
2017-12-31,66.27695
2018-03-31,78.51086
2018-06-30,79.62588
2018-09-30,79.2538
2018-12-31,63.49877
2019-03-31,74.01344
2019-06-30,73.43772
2019-09-30,95.87318
2019-12-31,84.90307
2020-03-31,149.2651
2020-06-30,95.4633
2020-09-30,99.6951
2020-12-31,81.02689
2021-03-31,72.11314
2021-06-30,69.975
2021-09-30,86.94579
2021-12-31,73.4658
