ds,y
2001-03-31,10.951
2001-06-30,7.273
2001-09-30,10.767
2001-12-31,11.034
2002-03-31,10.574
2002-06-30,8.375
2002-09-30,10.812
2002-12-31,9.982
2003-03-31,10.788
2003-06-30,7.432
2003-09-30,11.248
2003-12-31,12.114
2004-03-31,11.06738
2004-06-30,8.51657
2004-09-30,12.55568
2004-12-31,11.25593
2005-03-31,11.05001
2005-06-30,9.54126
2005-09-30,12.20179
2005-12-31,11.27553
2006-03-31,12.45067
2006-06-30,9.07232
2006-09-30,11.64295
2006-12-31,11.53777
2007-03-31,11.37802
2007-06-30,8.82207
2007-09-30,12.08888
2007-12-31,12.52287
2008-03-31,11.94875
2008-06-30,6.74135
2008-09-30,10.42104
2008-12-31,11.12961
2009-03-31,11.67503
2009-06-30,9.71498
2009-09-30,5.54943
2009-12-31,5.9044
2010-03-31,10.61356
2010-06-30,7.88254
2010-09-30,9.67544
2010-12-31,5.65556
2011-03-31,10.45182
2011-06-30,5.11742
2011-09-30,5.08808
2011-12-31,3.8314
2012-03-31,6.0265
2012-06-30,0.4424
2012-09-30,3.52195
2012-12-31,4.19972
2013-03-31,9.8288
2013-06-30,1.09012
2013-09-30,2.46575
2013-12-31,3.39287
2014-03-31,10.46139
2014-06-30,0.57513
2014-09-30,0.92431
2014-12-31,2.9065
2015-03-31,9.55504
2015-06-30,0.13826
2015-09-30,0.73709
2015-12-31,0.55837
2016-03-31,1.85366
2016-06-30,0.10323
2016-09-30,1.38157
2016-12-31,1.93857
2017-03-31,1.24681
2017-06-30,0.51249
2017-09-30,0.33736
2017-12-31,1.52046
2018-03-31,4.31056
2018-06-30,1.21805
2018-09-30,0.97297
2018-12-31,0.0
2019-03-31,1.94717
2019-06-30,0.48811
2019-09-30,0.78043
2019-12-31,0.96621
2020-03-31,0.57966
2020-06-30,0.07233
2020-09-30,0.0
2020-12-31,0.86595
2021-03-31,2.42302
2021-06-30,0.31522
2021-09-30,0.33248
2021-12-31,0.18786
