ds,y
2001-03-31,32.401
2001-06-30,42.579
2001-09-30,56.666
2001-12-31,42.255
2002-03-31,42.622
2002-06-30,47.268
2002-09-30,70.544
2002-12-31,40.83
2003-03-31,33.453
2003-06-30,37.091
2003-09-30,50.574
2003-12-31,33.643
2004-03-31,25.23534
2004-06-30,47.75153
2004-09-30,53.94345
2004-12-31,41.29083
2005-03-31,26.91312
2005-06-30,34.24905
2005-09-30,59.11341
2005-12-31,28.85125
2006-03-31,26.90374
2006-06-30,36.37129
2006-09-30,58.40225
2006-12-31,30.46385
2007-03-31,28.79326
2007-06-30,39.74816
2007-09-30,62.77593
2007-12-31,40.8069
2008-03-31,41.98499
2008-06-30,50.0915
2008-09-30,58.90575
2008-12-31,34.59602
2009-03-31,35.88309
2009-06-30,41.65129
2009-09-30,57.54397
2009-12-31,43.50352
2010-03-31,41.72077
2010-06-30,52.6261
2010-09-30,71.91779
2010-12-31,49.09102
2011-03-31,44.15335
2011-06-30,53.54791
2011-09-30,65.04224
2011-12-31,52.38754
2012-03-31,49.30514
2012-06-30,66.98989
2012-09-30,83.41199
2012-12-31,43.89907
2013-03-31,48.06476
2013-06-30,58.45537
2013-09-30,75.56762
2013-12-31,52.69213
2014-03-31,55.47473
2014-06-30,61.45347
2014-09-30,82.96287
2014-12-31,68.14375
2015-03-31,62.74992
2015-06-30,71.64143
2015-09-30,95.59422
2015-12-31,74.27604
2016-03-31,72.08434
2016-06-30,85.30831
2016-09-30,118.33703
2016-12-31,71.95482
2017-03-31,67.87742
2017-06-30,71.86456
2017-09-30,89.83112
2017-12-31,64.421
2018-03-31,60.3263
2018-06-30,70.35342
2018-09-30,104.92982
2018-12-31,69.17624
2019-03-31,67.0142
2019-06-30,73.08919
2019-09-30,97.21608
2019-12-31,76.34301
2020-03-31,54.8925
2020-06-30,51.92096
2020-09-30,83.1146
2020-12-31,53.46809
2021-03-31,43.80163
2021-06-30,54.77897
2021-09-30,78.82997
2021-12-31,61.35307
