ds,y
2001-03-31,21.769
2001-06-30,20.09
2001-09-30,25.755
2001-12-31,24.487
2002-03-31,21.53
2002-06-30,10.588
2002-09-30,15.043
2002-12-31,18.612
2003-03-31,19.411
2003-06-30,8.59
2003-09-30,30.549
2003-12-31,24.972
2004-03-31,25.69237
2004-06-30,18.74288
2004-09-30,30.76564
2004-12-31,30.17178
2005-03-31,28.66659
2005-06-30,15.97793
2005-09-30,28.16852
2005-12-31,30.26031
2006-03-31,19.10362
2006-06-30,6.60434
2006-09-30,32.47694
2006-12-31,30.57584
2007-03-31,24.33347
2007-06-30,18.71402
2007-09-30,37.97315
2007-12-31,39.16209
2008-03-31,39.70182
2008-06-30,19.71047
2008-09-30,32.90495
2008-12-31,37.06901
2009-03-31,33.39791
2009-06-30,9.74616
2009-09-30,40.41788
2009-12-31,34.87916
2010-03-31,34.08654
2010-06-30,14.75612
2010-09-30,32.98287
2010-12-31,32.35627
2011-03-31,13.68182
2011-06-30,5.67329
2011-09-30,16.02949
2011-12-31,28.73057
2012-03-31,31.56978
2012-06-30,7.07758
2012-09-30,23.37287
2012-12-31,26.68287
2013-03-31,31.94726
2013-06-30,12.85158
2013-09-30,30.78735
2013-12-31,34.35793
2014-03-31,27.14791
2014-06-30,8.86234
2014-09-30,31.93673
2014-12-31,30.14414
2015-03-31,20.61106
2015-06-30,27.4168
2015-09-30,38.64758
2015-12-31,36.95457
2016-03-31,29.54033
2016-06-30,16.42768
2016-09-30,40.81485
2016-12-31,30.83364
2017-03-31,26.57805
2017-06-30,7.18496
2017-09-30,41.59575
2017-12-31,41.20586
2018-03-31,32.74048
2018-06-30,15.46086
2018-09-30,47.64332
2018-12-31,40.17993
2019-03-31,43.55134
2019-06-30,21.24208
2019-09-30,49.21512
2019-12-31,44.19976
2020-03-31,44.64076
2020-06-30,19.43645
2020-09-30,39.64506
2020-12-31,40.88039
2021-03-31,37.90602
2021-06-30,29.85439
2021-09-30,45.40361
2021-12-31,41.24311
