ds,y
2001-03-31,5.732
2001-06-30,7.153
2001-09-30,13.262
2001-12-31,12.051
2002-03-31,12.276
2002-06-30,13.75
2002-09-30,29.298
2002-12-31,12.28
2003-03-31,10.358
2003-06-30,11.655
2003-09-30,23.264
2003-12-31,11.988
2004-03-31,17.08082
2004-06-30,28.19223
2004-09-30,38.52557
2004-12-31,10.16137
2005-03-31,15.19068
2005-06-30,19.10239
2005-09-30,46.4963
2005-12-31,17.29199
2006-03-31,19.74364
2006-06-30,28.25989
2006-09-30,53.65549
2006-12-31,17.00688
2007-03-31,20.46625
2007-06-30,36.22557
2007-09-30,67.46116
2007-12-31,35.54686
2008-03-31,26.53747
2008-06-30,31.0857
2008-09-30,59.36518
2008-12-31,37.26872
2009-03-31,45.34285
2009-06-30,56.49572
2009-09-30,75.87565
2009-12-31,48.78415
2010-03-31,40.19365
2010-06-30,59.96992
2010-09-30,92.41614
2010-12-31,69.4589
2011-03-31,67.90987
2011-06-30,79.08372
2011-09-30,99.67241
2011-12-31,80.5804
2012-03-31,102.9777
2012-06-30,102.77219
2012-09-30,120.29586
2012-12-31,93.72722
2013-03-31,95.66606
2013-06-30,89.26206
2013-09-30,113.69488
2013-12-31,95.53502
2014-03-31,88.33967
2014-06-30,94.27777
2014-09-30,129.15821
2014-12-31,109.33647
2015-03-31,102.35122
2015-06-30,108.25839
2015-09-30,144.2128
2015-12-31,118.81397
2016-03-31,115.85789
2016-06-30,124.06926
2016-09-30,172.90687
2016-12-31,126.92888
2017-03-31,127.79108
2017-06-30,119.46773
2017-09-30,177.56075
2017-12-31,145.12471
2018-03-31,127.11541
2018-06-30,130.39414
2018-09-30,183.80848
2018-12-31,142.95979
2019-03-31,165.22684
2019-06-30,150.58975
2019-09-30,225.10208
2019-12-31,183.20499
2020-03-31,210.37921
2020-06-30,186.09981
2020-09-30,284.44784
2020-12-31,203.88518
2021-03-31,217.19073
2021-06-30,210.34447
2021-09-30,259.58815
2021-12-31,229.20879
