ds,y
2001-03-31,350.195
2001-06-30,358.046
2001-09-30,408.575
2001-12-31,336.663
2002-03-31,349.07
2002-06-30,375.856
2002-09-30,413.839
2002-12-31,368.358
2003-03-31,364.494
2003-06-30,386.641
2003-09-30,419.65
2003-12-31,389.04
2004-03-31,374.32348
2004-06-30,391.27007
2004-09-30,432.68758
2004-12-31,388.14892
2005-03-31,387.2965
2005-06-30,380.87309
2005-09-30,424.92102
2005-12-31,394.39335
2006-03-31,363.91024
2006-06-30,375.84209
2006-09-30,440.37713
2006-12-31,389.19136
2007-03-31,364.92956
2007-06-30,383.60707
2007-09-30,425.45579
2007-12-31,394.72836
2008-03-31,372.02144
2008-06-30,391.04443
2008-09-30,432.03182
2008-12-31,371.53272
2009-03-31,336.95822
2009-06-30,364.46109
2009-09-30,404.48946
2009-12-31,374.50745
2010-03-31,363.56098
2010-06-30,385.72724
2010-09-30,452.36997
2010-12-31,387.73412
2011-03-31,388.82287
2011-06-30,432.92054
2011-09-30,486.58507
2011-12-31,371.88358
2012-03-31,319.46331
2012-06-30,339.93363
2012-09-30,442.71616
2012-12-31,380.75388
2013-03-31,344.22767
2013-06-30,384.96407
2013-09-30,469.49096
2013-12-31,376.82043
2014-03-31,384.22684
2014-06-30,375.6123
2014-09-30,462.4881
2014-12-31,335.92848
2015-03-31,298.95279
2015-06-30,316.5375
2015-09-30,425.60446
2015-12-31,278.73987
2016-03-31,214.27693
2016-06-30,305.07954
2016-09-30,427.80047
2016-12-31,362.14924
2017-03-31,303.71026
2017-06-30,359.27305
2017-09-30,423.32748
2017-12-31,353.15478
2018-03-31,255.54165
2018-06-30,279.99286
2018-09-30,346.12443
2018-12-31,296.89971
2019-03-31,245.88391
2019-06-30,238.3261
2019-09-30,281.78607
2019-12-31,216.82939
2020-03-31,167.4513
2020-06-30,200.23006
2020-09-30,270.69825
2020-12-31,228.33737
2021-03-31,214.91085
2021-06-30,232.20311
2021-09-30,301.96991
2021-12-31,212.98245
