ds,y
2001-03-31,430.39
2001-06-30,537.785
2001-09-30,674.52
2001-12-31,452.781
2002-03-31,430.689
2002-06-30,527.603
2002-09-30,659.515
2002-12-31,450.576
2003-03-31,426.592
2003-06-30,505.598
2003-09-30,604.57
2003-12-31,401.961
2004-03-31,408.30277
2004-06-30,489.07152
2004-09-30,590.66188
2004-12-31,438.37275
2005-03-31,391.28325
2005-06-30,508.44811
2005-09-30,643.33831
2005-12-31,427.59275
2006-03-31,380.82849
2006-06-30,533.77373
2006-09-30,634.42544
2006-12-31,420.88848
2007-03-31,439.97749
2007-06-30,477.41726
2007-09-30,600.93318
2007-12-31,427.10997
2008-03-31,410.4007
2008-06-30,507.96663
2008-09-30,570.06227
2008-12-31,374.04226
2009-03-31,362.99814
2009-06-30,473.15542
2009-09-30,606.30681
2009-12-31,385.44873
2010-03-31,395.36094
2010-06-30,466.68076
2010-09-30,578.96643
2010-12-31,365.01827
2011-03-31,376.88337
2011-06-30,487.10001
2011-09-30,660.45451
2011-12-31,412.87926
2012-03-31,436.94035
2012-06-30,555.78423
2012-09-30,615.86733
2012-12-31,403.25053
2013-03-31,398.02301
2013-06-30,466.90198
2013-09-30,604.75528
2013-12-31,453.21131
2014-03-31,413.75734
2014-06-30,462.58963
2014-09-30,592.81261
2014-12-31,449.38621
2015-03-31,495.14694
2015-06-30,512.30511
2015-09-30,656.10139
2015-12-31,487.87116
2016-03-31,472.65907
2016-06-30,527.95266
2016-09-30,629.48655
2016-12-31,417.02975
2017-03-31,371.62276
2017-06-30,473.52769
2017-09-30,607.80521
2017-12-31,423.40055
2018-03-31,462.70466
2018-06-30,541.18865
2018-09-30,693.43296
2018-12-31,476.32764
2019-03-31,468.66093
2019-06-30,543.67692
2019-09-30,765.20715
2019-12-31,523.04894
2020-03-31,510.55657
2020-06-30,540.51485
2020-09-30,715.89625
2020-12-31,478.12012
2021-03-31,452.11875
2021-06-30,534.49482
2021-09-30,682.73909
2021-12-31,485.59569
