ds,y
2001-03-31,26.199
2001-06-30,17.521
2001-09-30,26.27
2001-12-31,28.688
2002-03-31,28.815
2002-06-30,13.115
2002-09-30,25.586
2002-12-31,32.411
2003-03-31,30.298
2003-06-30,26.556
2003-09-30,29.748
2003-12-31,30.884
2004-03-31,30.52703
2004-06-30,21.8877
2004-09-30,29.89575
2004-12-31,29.26756
2005-03-31,29.94943
2005-06-30,21.7713
2005-09-30,30.36761
2005-12-31,29.86709
2006-03-31,20.39587
2006-06-30,2.04225
2006-09-30,19.16399
2006-12-31,26.83001
2007-03-31,20.3169
2007-06-30,18.89369
2007-09-30,28.10688
2007-12-31,27.16568
2008-03-31,25.8608
2008-06-30,10.62951
2008-09-30,26.17052
2008-12-31,30.82733
2009-03-31,29.30327
2009-06-30,4.74194
2009-09-30,24.72183
2009-12-31,23.74554
2010-03-31,28.37878
2010-06-30,11.01305
2010-09-30,28.59982
2010-12-31,26.38568
2011-03-31,9.2119
2011-06-30,0.46796
2011-09-30,19.12577
2011-12-31,28.08235
2012-03-31,4.96437
2012-06-30,0.36886
2012-09-30,14.00514
2012-12-31,23.11376
2013-03-31,18.7135
2013-06-30,1.62144
2013-09-30,26.47277
2013-12-31,27.94149
2014-03-31,23.84953
2014-06-30,4.68786
2014-09-30,25.16994
2014-12-31,22.35946
2015-03-31,6.67091
2015-06-30,8.40295
2015-09-30,21.5426
2015-12-31,21.64379
2016-03-31,4.58694
2016-06-30,2.40862
2016-09-30,24.85372
2016-12-31,21.38115
2017-03-31,9.5043
2017-06-30,0.44833
2017-09-30,24.61938
2017-12-31,27.20343
2018-03-31,8.4309
2018-06-30,1.34103
2018-09-30,25.72042
2018-12-31,25.64462
2019-03-31,23.33015
2019-06-30,4.37417
2019-09-30,25.90946
2019-12-31,27.19342
2020-03-31,13.47248
2020-06-30,0.22236
2020-09-30,18.10061
2020-12-31,27.60735
2021-03-31,11.29956
2021-06-30,1.38205
2021-09-30,14.21377
2021-12-31,10.01896
