ds,y
2001-03-31,29.031
2001-06-30,29.225
2001-09-30,26.699
2001-12-31,18.637
2002-03-31,15.789
2002-06-30,6.164
2002-09-30,11.572
2002-12-31,15.642
2003-03-31,17.109
2003-06-30,5.901
2003-09-30,22.124
2003-12-31,19.75
2004-03-31,17.85781
2004-06-30,10.5678
2004-09-30,25.54103
2004-12-31,18.96206
2005-03-31,18.70161
2005-06-30,10.43374
2005-09-30,24.54092
2005-12-31,17.91186
2006-03-31,9.24732
2006-06-30,5.12501
2006-09-30,28.24725
2006-12-31,22.62744
2007-03-31,10.53819
2007-06-30,4.13646
2007-09-30,23.71515
2007-12-31,22.51846
2008-03-31,23.13895
2008-06-30,11.6488
2008-09-30,27.65234
2008-12-31,18.31866
2009-03-31,19.10631
2009-06-30,5.936
2009-09-30,43.74438
2009-12-31,29.62871
2010-03-31,18.51919
2010-06-30,12.52
2010-09-30,34.93612
2010-12-31,19.76157
2011-03-31,7.98755
2011-06-30,3.73777
2011-09-30,15.40757
2011-12-31,18.02633
2012-03-31,14.9041
2012-06-30,4.34577
2012-09-30,15.99022
2012-12-31,14.35224
2013-03-31,18.30561
2013-06-30,10.80822
2013-09-30,34.70831
2013-12-31,31.48835
2014-03-31,23.8288
2014-06-30,8.57217
2014-09-30,35.27294
2014-12-31,24.6912
2015-03-31,12.83956
2015-06-30,22.73062
2015-09-30,37.91695
2015-12-31,34.78918
2016-03-31,24.28652
2016-06-30,15.03679
2016-09-30,36.3401
2016-12-31,19.91722
2017-03-31,19.80931
2017-06-30,8.5981
2017-09-30,35.30094
2017-12-31,31.86542
2018-03-31,18.81468
2018-06-30,12.6961
2018-09-30,42.64813
2018-12-31,15.93586
2019-03-31,26.8061
2019-06-30,18.33988
2019-09-30,48.15024
2019-12-31,36.84744
2020-03-31,34.76383
2020-06-30,18.83433
2020-09-30,35.3412
2020-12-31,29.92717
2021-03-31,31.75209
2021-06-30,26.33481
2021-09-30,42.15847
2021-12-31,35.04836
