ds,y
2001-03-31,124.553
2001-06-30,110.109
2001-09-30,116.024
2001-12-31,123.591
2002-03-31,118.754
2002-06-30,100.552
2002-09-30,120.735
2002-12-31,121.105
2003-03-31,123.009
2003-06-30,105.437
2003-09-30,121.592
2003-12-31,123.275
2004-03-31,121.48646
2004-06-30,105.4611
2004-09-30,128.90097
2004-12-31,123.66982
2005-03-31,118.49104
2005-06-30,104.25377
2005-09-30,123.03862
2005-12-31,125.49877
2006-03-31,123.40748
2006-06-30,96.1712
2006-09-30,125.72151
2006-12-31,123.02947
2007-03-31,115.1155
2007-06-30,107.73229
2007-09-30,125.69359
2007-12-31,124.28106
2008-03-31,124.45229
2008-06-30,105.38813
2008-09-30,126.85201
2008-12-31,121.61003
2009-03-31,121.01593
2009-06-30,87.41937
2009-09-30,120.79964
2009-12-31,125.96505
2010-03-31,121.50683
2010-06-30,100.8965
2010-09-30,120.33466
2010-12-31,123.10544
2011-03-31,114.6621
2011-06-30,99.22089
2011-09-30,121.44672
2011-12-31,124.62445
2012-03-31,124.8698
2012-06-30,96.61024
2012-09-30,128.22251
2012-12-31,132.67196
2013-03-31,130.19004
2013-06-30,116.66555
2013-09-30,135.78825
2013-12-31,133.67592
2014-03-31,126.19183
2014-06-30,106.44436
2014-09-30,126.706
2014-12-31,121.67929
2015-03-31,121.09521
2015-06-30,114.27552
2015-09-30,128.26283
2015-12-31,117.91769
2016-03-31,111.84504
2016-06-30,91.07721
2016-09-30,127.84066
2016-12-31,115.60045
2017-03-31,112.39801
2017-06-30,93.40827
2017-09-30,130.03473
2017-12-31,111.57427
2018-03-31,112.32838
2018-06-30,90.45659
2018-09-30,123.15688
2018-12-31,117.79984
2019-03-31,110.85231
2019-06-30,76.86987
2019-09-30,109.07649
2019-12-31,100.80847
2020-03-31,92.56288
2020-06-30,83.85075
2020-09-30,102.57485
2020-12-31,101.81352
2021-03-31,91.78429
2021-06-30,85.44669
2021-09-30,107.79964
2021-12-31,82.10282
