ds,y
2001-03-31,46847.912
2001-06-30,50787.299
2001-09-30,56954.628
2001-12-31,44006.233
2002-03-31,43035.231
2002-06-30,44273.665
2002-09-30,55386.423
2002-12-31,41514.717
2003-03-31,41796.293
2003-06-30,45727.938
2003-09-30,58747.738
2003-12-31,46516.573
2004-03-31,45621.49951
2004-06-30,47433.71785
2004-09-30,57780.81264
2004-12-31,43944.325
2005-03-31,43263.16268
2005-06-30,50161.13024
2005-09-30,60145.40443
2005-12-31,46723.12072
2006-03-31,48309.87564
2006-06-30,53695.23108
2006-09-30,65007.73293
2006-12-31,49785.84854
2007-03-31,46466.16109
2007-06-30,49580.15271
2007-09-30,63977.39069
2007-12-31,50823.87638
2008-03-31,47451.80601
2008-06-30,51089.36371
2008-09-30,61289.71418
2008-12-31,48153.37893
2009-03-31,44697.07448
2009-06-30,48768.19198
2009-09-30,63778.46835
2009-12-31,47532.39744
2010-03-31,46860.46227
2010-06-30,48110.50388
2010-09-30,59112.02076
2010-12-31,50042.60863
2011-03-31,45888.57652
2011-06-30,47175.17273
2011-09-30,58460.07115
2011-12-31,49281.02208
2012-03-31,45493.19276
2012-06-30,46836.01912
2012-09-30,59082.71427
2012-12-31,48106.64042
2013-03-31,43689.64903
2013-06-30,48235.22874
2013-09-30,59075.39682
2013-12-31,49076.84003
2014-03-31,44128.88369
2014-06-30,48404.06597
2014-09-30,58906.89172
2014-12-31,47367.78041
2015-03-31,40896.60545
2015-06-30,48730.34483
2015-09-30,60256.34738
2015-12-31,46820.56
2016-03-31,42349.90666
2016-06-30,48080.94471
2016-09-30,60322.94151
2016-12-31,46209.4225
2017-03-31,46466.77343
2017-06-30,51094.23826
2017-09-30,62987.94096
2017-12-31,45597.56726
2018-03-31,40434.00098
2018-06-30,48257.60959
2018-09-30,60941.89166
2018-12-31,45832.13596
2019-03-31,44896.57018
2019-06-30,50397.67219
2019-09-30,60962.2893
2019-12-31,45527.67264
2020-03-31,41506.70399
2020-06-30,46534.34558
2020-09-30,59964.00623
2020-12-31,45069.87462
2021-03-31,40090.44136
2021-06-30,49538.969
2021-09-30,60613.34574
2021-12-31,46484.35023
