ds,y
2001-03-31,7169.313
2001-06-30,7297.139
2001-09-30,8353.918
2001-12-31,7670.275
2002-03-31,7270.15
2002-06-30,7873.771
2002-09-30,8562.534
2002-12-31,7604.764
2003-03-31,7606.942
2003-06-30,7307.683
2003-09-30,7973.929
2003-12-31,6656.494
2004-03-31,8363.56527
2004-06-30,7269.13933
2004-09-30,9117.86354
2004-12-31,7882.83957
2005-03-31,8676.99588
2005-06-30,7799.62994
2005-09-30,9536.23953
2005-12-31,7536.88145
2006-03-31,8418.52139
2006-06-30,8714.58473
2006-09-30,9667.95048
2006-12-31,7880.67957
2007-03-31,8517.60932
2007-06-30,7378.80742
2007-09-30,9318.85551
2007-12-31,7955.93698
2008-03-31,7863.90297
2008-06-30,6951.84269
2008-09-30,8552.78833
2008-12-31,7040.93866
2009-03-31,8247.02242
2009-06-30,7481.55903
2009-09-30,8272.05181
2009-12-31,7205.58879
2010-03-31,7786.82521
2010-06-30,7042.55958
2010-09-30,9795.9811
2010-12-31,8724.25742
2011-03-31,8434.37693
2011-06-30,7837.33575
2011-09-30,9671.76793
2011-12-31,7801.74001
2012-03-31,8675.4201
2012-06-30,8652.47014
2012-09-30,10022.67011
2012-12-31,8766.98353
2013-03-31,9280.19742
2013-06-30,7933.71274
2013-09-30,9474.38338
2013-12-31,8922.49577
2014-03-31,8868.0368
2014-06-30,7607.12139
2014-09-30,9348.41893
2014-12-31,7853.4033
2015-03-31,9836.76494
2015-06-30,8818.76321
2015-09-30,9940.99619
2015-12-31,8874.09793
2016-03-31,9227.9083
2016-06-30,8029.00728
2016-09-30,9854.26302
2016-12-31,9385.38132
2017-03-31,8967.82669
2017-06-30,7529.09397
2017-09-30,9339.4727
2017-12-31,8726.26054
2018-03-31,9654.82416
2018-06-30,9325.06264
2018-09-30,10994.47209
2018-12-31,9479.19264
2019-03-31,9747.42329
2019-06-30,8781.53958
2019-09-30,11296.29788
2019-12-31,10224.77718
2020-03-31,10740.61979
2020-06-30,9297.47075
2020-09-30,11874.2733
2020-12-31,9278.20864
2021-03-31,10898.95546
2021-06-30,10422.19669
2021-09-30,12032.12171
2021-12-31,10770.29813
