ds,y
2001-03-31,43813.622
2001-06-30,48714.006
2001-09-30,55298.858
2001-12-31,43118.857
2002-03-31,43586.781
2002-06-30,51455.442
2002-09-30,59473.471
2002-12-31,48837.084
2003-03-31,48211.291
2003-06-30,54488.852
2003-09-30,60832.68
2003-12-31,49077.19
2004-03-31,47384.84049
2004-06-30,56262.61966
2004-09-30,62686.82322
2004-12-31,51783.64448
2005-03-31,47526.48305
2005-06-30,53756.76142
2005-09-30,68538.55089
2005-12-31,50434.61645
2006-03-31,48263.1413
2006-06-30,58423.67356
2006-09-30,66178.71715
2006-12-31,50886.08903
2007-03-31,49056.51706
2007-06-30,56027.32435
2007-09-30,67733.85942
2007-12-31,52598.35939
2008-03-31,49205.80936
2008-06-30,57390.63957
2008-09-30,64252.70905
2008-12-31,48787.66021
2009-03-31,47056.86126
2009-06-30,55903.82521
2009-09-30,63905.1124
2009-12-31,51086.50954
2010-03-31,51775.92256
2010-06-30,57833.63872
2010-09-30,66705.61267
2010-12-31,52780.76085
2011-03-31,47924.30612
2011-06-30,59111.75784
2011-09-30,65816.1575
2011-12-31,49042.35263
2012-03-31,49874.26273
2012-06-30,56795.0131
2012-09-30,63719.17814
2012-12-31,50707.68201
2013-03-31,47942.00383
2013-06-30,57238.17755
2013-09-30,64473.28545
2013-12-31,52745.45716
2014-03-31,51865.76505
2014-06-30,59084.45336
2014-09-30,66098.03047
2014-12-31,52967.68843
2015-03-31,53059.62134
2015-06-30,61915.00531
2015-09-30,66841.19984
2015-12-31,55596.80668
2016-03-31,52242.1334
2016-06-30,61668.73481
2016-09-30,70810.13993
2016-12-31,53541.14169
2017-03-31,51669.70677
2017-06-30,61757.76926
2017-09-30,69279.5426
2017-12-31,55706.41804
2018-03-31,53580.66012
2018-06-30,61289.19806
2018-09-30,71339.55316
2018-12-31,58042.62383
2019-03-31,52589.37706
2019-06-30,63241.57356
2019-09-30,72030.936
2019-12-31,57741.59829
2020-03-31,56074.26552
2020-06-30,63460.10135
2020-09-30,72879.18089
2020-12-31,58414.2515
2021-03-31,53777.47704
2021-06-30,62896.17518
2021-09-30,72376.34419
2021-12-31,55351.03781
