ds,y
2001-03-31,32.671
2001-06-30,42.754
2001-09-30,43.005
2001-12-31,29.288
2002-03-31,50.968
2002-06-30,43.304
2002-09-30,31.556
2002-12-31,58.286
2003-03-31,58.917
2003-06-30,61.221
2003-09-30,78.133
2003-12-31,64.396
2004-03-31,66.31449
2004-06-30,66.31449
2004-09-30,66.31449
2004-12-31,66.31449
2005-03-31,75.02716
2005-06-30,70.57612
2005-09-30,67.22795
2005-12-31,53.32776
2006-03-31,52.69817
2006-06-30,56.51867
2006-09-30,54.29856
2006-12-31,39.9066
2007-03-31,59.60965
2007-06-30,39.46194
2007-09-30,27.90565
2007-12-31,27.46877
2008-03-31,65.86488
2008-06-30,54.68936
2008-09-30,40.04825
2008-12-31,45.55552
2009-03-31,45.48685
2009-06-30,52.75702
2009-09-30,37.69565
2009-12-31,72.26248
2010-03-31,71.72635
2010-06-30,41.83101
2010-09-30,27.52762
2010-12-31,36.38902
2011-03-31,47.4238
2011-06-30,52.47151
2011-09-30,34.25802
2011-12-31,47.88868
2012-03-31,48.04355
2012-06-30,38.57883
2012-09-30,28.68875
2012-12-31,35.19987
2013-03-31,66.99751
2013-06-30,65.40382
2013-09-30,68.66379
2013-12-31,53.14891
2014-03-31,74.60587
2014-06-30,57.66539
2014-09-30,38.89552
2014-12-31,40.22123
2015-03-31,57.62388
2015-06-30,56.58631
2015-09-30,42.88862
2015-12-31,87.19519
2016-03-31,81.23013
2016-06-30,37.64998
2016-09-30,27.85188
2016-12-31,27.81904
2017-03-31,63.8649
2017-06-30,72.81136
2017-09-30,43.59297
2017-12-31,38.02978
2018-03-31,47.58073
2018-06-30,54.56611
2018-09-30,55.06872
2018-12-31,75.35843
2019-03-31,78.69249
2019-06-30,61.10717
2019-09-30,32.22502
2019-12-31,37.85734
2020-03-31,85.54797
2020-06-30,67.47511
2020-09-30,38.16451
2020-12-31,40.49242
2021-03-31,0.0
2021-06-30,0.0
2021-09-30,0.0
2021-12-31,56.41804
