ds,y
2001-03-31,2598.734
2001-06-30,2595.619
2001-09-30,2792.574
2001-12-31,2646.165
2002-03-31,2724.549
2002-06-30,2924.232
2002-09-30,3103.961
2002-12-31,2910.331
2003-03-31,2533.265
2003-06-30,2705.621
2003-09-30,2919.394
2003-12-31,2818.091
2004-03-31,2684.15463
2004-06-30,2797.33539
2004-09-30,3039.75444
2004-12-31,2889.15813
2005-03-31,2650.14481
2005-06-30,2798.45097
2005-09-30,3203.93507
2005-12-31,2870.27451
2006-03-31,2678.02011
2006-06-30,2847.57049
2006-09-30,3142.31289
2006-12-31,2891.27016
2007-03-31,2741.24407
2007-06-30,2870.3016
2007-09-30,3053.28274
2007-12-31,2868.52116
2008-03-31,2769.61436
2008-06-30,2854.05557
2008-09-30,2950.27859
2008-12-31,2802.43654
2009-03-31,2569.6569
2009-06-30,2714.273
2009-09-30,2922.76893
2009-12-31,2803.83405
2010-03-31,2555.69351
2010-06-30,2687.38981
2010-09-30,2855.30857
2010-12-31,2737.64408
2011-03-31,2603.90811
2011-06-30,2665.87633
2011-09-30,2760.45527
2011-12-31,2693.09322
2012-03-31,2494.26636
2012-06-30,2510.82705
2012-09-30,2617.67646
2012-12-31,2846.49879
2013-03-31,2383.48626
2013-06-30,2531.5867
2013-09-30,2713.52875
2013-12-31,2638.45057
2014-03-31,2402.209
2014-06-30,2481.206
2014-09-30,2736.70524
2014-12-31,2584.03801
2015-03-31,2237.01016
2015-06-30,2439.42852
2015-09-30,2812.35364
2015-12-31,2630.70794
2016-03-31,2341.20338
2016-06-30,2428.09977
2016-09-30,2673.58857
2016-12-31,2505.95333
2017-03-31,2354.78221
2017-06-30,2438.39341
2017-09-30,2563.99421
2017-12-31,2455.79822
2018-03-31,2282.49553
2018-06-30,2394.95483
2018-09-30,2599.36652
2018-12-31,2519.95603
2019-03-31,2156.36042
2019-06-30,2393.12133
2019-09-30,2643.22283
2019-12-31,2557.29351
2020-03-31,2237.01165
2020-06-30,2127.72096
2020-09-30,2322.24956
2020-12-31,2392.03698
2021-03-31,2150.24863
2021-06-30,2253.32345
2021-09-30,2426.56238
2021-12-31,2357.96025
