ds,y
2001-03-31,0.0
2001-06-30,0.0
2001-09-30,0.0
2001-12-31,0.0
2002-03-31,0.0
2002-06-30,0.0
2002-09-30,0.0
2002-12-31,0.0
2003-03-31,0.0
2003-06-30,0.0
2003-09-30,0.0
2003-12-31,0.0
2004-03-31,0.0
2004-06-30,0.0
2004-09-30,0.0
2004-12-31,0.0
2005-03-31,0.0
2005-06-30,0.0
2005-09-30,0.0
2005-12-31,0.0
2006-03-31,42.89663
2006-06-30,45.63985
2006-09-30,31.50119
2006-12-31,49.57933
2007-03-31,43.41826
2007-06-30,43.79747
2007-09-30,40.77621
2007-12-31,44.27506
2008-03-31,57.85766
2008-06-30,51.12893
2008-09-30,34.71868
2008-12-31,63.76673
2009-03-31,84.53006
2009-06-30,69.3265
2009-09-30,54.83639
2009-12-31,104.72505
2010-03-31,73.04162
2010-06-30,92.88225
2010-09-30,70.87268
2010-12-31,203.94945
2011-03-31,311.43354
2011-06-30,369.9619
2011-09-30,253.21163
2011-12-31,372.07494
2012-03-31,479.03097
2012-06-30,393.32276
2012-09-30,312.75428
2012-12-31,705.451
2013-03-31,608.96465
2013-06-30,684.51836
2013-09-30,586.12298
2013-12-31,580.52502
2014-03-31,832.20137
2014-06-30,738.19584
2014-09-30,509.9484
2014-12-31,725.4544
2015-03-31,564.21501
2015-06-30,515.44707
2015-09-30,505.7174
2015-12-31,684.80653
2016-03-31,768.27843
2016-06-30,643.67957
2016-09-30,466.27115
2016-12-31,700.18587
2017-03-31,709.45384
2017-06-30,645.44058
2017-09-30,461.66522
2017-12-31,728.11536
2018-03-31,725.8044
2018-06-30,710.10531
2018-09-30,561.8788
2018-12-31,657.2635
2019-03-31,651.628
2019-06-30,635.92924
2019-09-30,600.91588
2019-12-31,662.33789
2020-03-31,824.99432
2020-06-30,702.26159
2020-09-30,526.67096
2020-12-31,716.64348
2021-03-31,741.97189
2021-06-30,665.97901
2021-09-30,501.16972
2021-12-31,748.12711
