ds,y
2001-03-31,0.0
2001-06-30,0.0
2001-09-30,0.0
2001-12-31,0.0
2002-03-31,0.0
2002-06-30,0.0
2002-09-30,0.0
2002-12-31,0.0
2003-03-31,0.0
2003-06-30,0.0
2003-09-30,0.0
2003-12-31,0.0
2004-03-31,0.0
2004-06-30,0.0
2004-09-30,0.0
2004-12-31,0.0
2005-03-31,0.0
2005-06-30,0.0
2005-09-30,0.0
2005-12-31,0.0
2006-03-31,0.0
2006-06-30,0.0
2006-09-30,0.0
2006-12-31,0.0
2007-03-31,0.0
2007-06-30,0.0
2007-09-30,0.0
2007-12-31,0.0
2008-03-31,0.0
2008-06-30,0.0
2008-09-30,0.0
2008-12-31,0.0
2009-03-31,0.0
2009-06-30,0.0
2009-09-30,0.0
2009-12-31,0.0
2010-03-31,0.0
2010-06-30,0.0
2010-09-30,0.0
2010-12-31,0.0
2011-03-31,0.0
2011-06-30,0.0
2011-09-30,0.0
2011-12-31,0.0
2012-03-31,0.0
2012-06-30,0.0
2012-09-30,0.0
2012-12-31,0.0
2013-03-31,0.0
2013-06-30,0.0
2013-09-30,0.0
2013-12-31,0.0
2014-03-31,12.3384
2014-06-30,21.3291
2014-09-30,22.2685
2014-12-31,15.19545
2015-03-31,14.68407
2015-06-30,22.92621
2015-09-30,23.39167
2015-12-31,15.16363
2016-03-31,16.21402
2016-06-30,24.4811
2016-09-30,27.14698
2016-12-31,17.91882
2017-03-31,18.77315
2017-06-30,32.64686
2017-09-30,37.70485
2017-12-31,21.38968
2018-03-31,29.406
2018-06-30,50.01986
2018-09-30,52.01465
2018-12-31,30.00341
2019-03-31,39.56335
2019-06-30,69.46655
2019-09-30,86.22116
2019-12-31,55.49444
2020-03-31,74.06239
2020-06-30,141.27179
2020-09-30,170.28563
2020-12-31,120.38471
2021-03-31,201.50787
2021-06-30,376.22727
2021-09-30,513.63296
2021-12-31,356.36208
