ds,y
2001-03-31,10581.304
2001-06-30,9086.333
2001-09-30,11059.671
2001-12-31,9931.204
2002-03-31,10582.291
2002-06-30,9993.146
2002-09-30,11202.024
2002-12-31,10750.925
2003-03-31,10691.82
2003-06-30,9842.649
2003-09-30,11307.243
2003-12-31,10274.483
2004-03-31,11134.48558
2004-06-30,9672.87216
2004-09-30,11390.27723
2004-12-31,11050.55403
2005-03-31,10511.83825
2005-06-30,10524.0931
2005-09-30,12124.51086
2005-12-31,10995.71772
2006-03-31,11000.91602
2006-06-30,11015.71028
2006-09-30,11516.87211
2006-12-31,11949.96398
2007-03-31,11802.0306
2007-06-30,11436.2555
2007-09-30,13742.37889
2007-12-31,12808.55198
2008-03-31,13457.62586
2008-06-30,12248.92786
2008-09-30,13239.56108
2008-12-31,14140.67156
2009-03-31,13255.79763
2009-06-30,11836.43653
2009-09-30,13144.48117
2009-12-31,13623.34781
2010-03-31,14591.58754
2010-06-30,13559.85936
2010-09-30,15275.77673
2010-12-31,14081.49717
2011-03-31,13671.84926
2011-06-30,13884.33276
2011-09-30,14935.96464
2011-12-31,13879.76598
2012-03-31,14384.90248
2012-06-30,13275.46196
2012-09-30,15013.5603
2012-12-31,14001.48082
2013-03-31,14637.61506
2013-06-30,13640.6112
2013-09-30,14728.6861
2013-12-31,13663.84458
2014-03-31,15610.08015
2014-06-30,12763.51885
2014-09-30,13941.27977
2014-12-31,14538.40371
2015-03-31,15926.79395
2015-06-30,13355.25656
2015-09-30,14497.21929
2015-12-31,12879.64867
2016-03-31,13756.93905
2016-06-30,12017.6507
2016-09-30,14670.56872
2016-12-31,13947.34804
2017-03-31,13699.63266
2017-06-30,14761.09357
2017-09-30,14716.75105
2017-12-31,14732.08886
2018-03-31,15258.00725
2018-06-30,15722.09141
2018-09-30,15878.8052
2018-12-31,16521.6649
2019-03-31,16694.91886
2019-06-30,14218.20279
2019-09-30,16169.49948
2019-12-31,15566.94174
2020-03-31,14872.08841
2020-06-30,14087.79049
2020-09-30,15768.77423
2020-12-31,14908.01835
2021-03-31,16009.14979
2021-06-30,15958.51162
2021-09-30,17352.32832
2021-12-31,16800.27592
