ds,y
2001-03-31,8977.507
2001-06-30,8088.48
2001-09-30,9314.032
2001-12-31,8285.077
2002-03-31,8792.965
2002-06-30,8163.305
2002-09-30,9539.41
2002-12-31,8876.379
2003-03-31,9194.922
2003-06-30,8287.322
2003-09-30,9527.303
2003-12-31,8810.396
2004-03-31,9199.27531
2004-06-30,7839.45114
2004-09-30,9452.40292
2004-12-31,8781.06697
2005-03-31,8088.31311
2005-06-30,8333.10158
2005-09-30,9433.4775
2005-12-31,8397.44157
2006-03-31,8436.39732
2006-06-30,8253.39486
2006-09-30,8794.8398
2006-12-31,8920.56226
2007-03-31,9072.52314
2007-06-30,8384.75262
2007-09-30,10934.70925
2007-12-31,9593.58142
2008-03-31,10297.90538
2008-06-30,9357.23653
2008-09-30,10415.58278
2008-12-31,10339.3824
2009-03-31,9741.66964
2009-06-30,8051.24018
2009-09-30,9829.11273
2009-12-31,9729.41313
2010-03-31,10631.69621
2010-06-30,9585.97366
2010-09-30,11016.35976
2010-12-31,10048.90768
2011-03-31,9290.74454
2011-06-30,9051.11415
2011-09-30,11186.298
2011-12-31,8701.20328
2012-03-31,8624.29601
2012-06-30,7531.76325
2012-09-30,10223.17509
2012-12-31,8952.11678
2013-03-31,8353.28851
2013-06-30,7807.33495
2013-09-30,9716.91376
2013-12-31,7424.8079
2014-03-31,8969.55919
2014-06-30,6681.84704
2014-09-30,9469.4076
2014-12-31,8611.95154
2015-03-31,8723.35742
2015-06-30,7110.59604
2015-09-30,8766.12072
2015-12-31,5211.00072
2016-03-31,5833.58738
2016-06-30,4719.21681
2016-09-30,8613.64295
2016-12-31,6031.8998
2017-03-31,5331.26246
2017-06-30,6712.11893
2017-09-30,8111.55234
2017-12-31,5203.29585
2018-03-31,6032.14822
2018-06-30,6628.47921
2018-09-30,8281.85637
2018-12-31,7610.51478
2019-03-31,6893.46496
2019-06-30,4450.56967
2019-09-30,6739.72816
2019-12-31,4075.43986
2020-03-31,3158.18229
2020-06-30,2297.01049
2020-09-30,5899.68755
2020-12-31,2791.95419
2021-03-31,5080.97755
2021-06-30,4984.02081
2021-09-30,8099.73154
2021-12-31,3956.28701
