ds,y
2001-03-31,1130.252
2001-06-30,500.301
2001-09-30,1105.372
2001-12-31,1116.797
2002-03-31,1149.428
2002-06-30,1191.68
2002-09-30,973.605
2002-12-31,1259.245
2003-03-31,916.136
2003-06-30,970.475
2003-09-30,1254.722
2003-12-31,846.324
2004-03-31,1278.711
2004-06-30,1190.959
2004-09-30,1261.02
2004-12-31,1198.258
2005-03-31,1159.455
2005-06-30,763.507
2005-09-30,1291.596
2005-12-31,1323.755
2006-03-31,1298.24
2006-06-30,1271.188
2006-09-30,1265.75
2006-12-31,1260.264
2007-03-31,599.129
2007-06-30,1264.186
2007-09-30,1318.674
2007-12-31,1336.886
2008-03-31,1336.836
2008-06-30,1316.087
2008-09-30,1302.798
2008-12-31,1326.481
2009-03-31,760.482
2009-06-30,1286.394
2009-09-30,1334.252
2009-12-31,1297.803
2010-03-31,1316.577
2010-06-30,1204.668
2010-09-30,1305.285
2010-12-31,624.11
2011-03-31,1326.229
2011-06-30,1325.425
2011-09-30,1210.209
2011-12-31,1353.366
2012-03-31,1339.563
2012-06-30,1318.557
2012-09-30,1264.975
2012-12-31,423.9
2013-03-31,1324.265
2013-06-30,1325.595
2013-09-30,1324.836
2013-12-31,1346.089
2014-03-31,1315.965
2014-06-30,1305.546
2014-09-30,1235.744
2014-12-31,295.213
2015-03-31,1287.08
2015-06-30,1304.77
2015-09-30,1309.964
2015-12-31,1341.632
2016-03-31,1332.446
2016-06-30,1208.729
2016-09-30,1263.443
2016-12-31,898.047
2017-03-31,1326.637
2017-06-30,1315.495
2017-09-30,1296.249
2017-12-31,1275.128
2018-03-31,1315.001
2018-06-30,1294.366
2018-09-30,976.472
2018-12-31,1309.56
2019-03-31,1313.345
2019-06-30,1259.459
2019-09-30,1316.263
2019-12-31,1346.649
2020-03-31,1334.273
2020-06-30,1101.784
2020-09-30,468.806
2020-12-31,0.0
2021-03-31,0.0
2021-06-30,0.0
2021-09-30,0.0
2021-12-31,0.0
