ds,y
2001-03-31,2525.077
2001-06-30,2587.377
2001-09-30,2601.849
2001-12-31,2632.348
2002-03-31,2296.568
2002-06-30,1514.93
2002-09-30,2597.191
2002-12-31,2633.013
2003-03-31,2517.837
2003-06-30,2587.287
2003-09-30,2526.762
2003-12-31,1257.781
2004-03-31,2487.171
2004-06-30,2580.79
2004-09-30,2489.766
2004-12-31,2575.009
2005-03-31,2219.478
2005-06-30,1385.079
2005-09-30,2588.005
2005-12-31,2628.383
2006-03-31,2574.246
2006-06-30,2585.759
2006-09-30,2587.238
2006-12-31,1603.026
2007-03-31,2571.238
2007-06-30,2584.625
2007-09-30,2584.908
2007-12-31,2628.365
2008-03-31,2010.407
2008-06-30,1275.664
2008-09-30,2583.814
2008-12-31,2627.275
2009-03-31,2555.351
2009-06-30,2449.931
2009-09-30,2418.505
2009-12-31,1344.761
2010-03-31,2340.092
2010-06-30,2582.803
2010-09-30,2576.87
2010-12-31,2055.947
2011-03-31,2178.641
2011-06-30,-24.309
2011-09-30,2508.51
2011-12-31,2656.046
2012-03-31,428.49
2012-06-30,2613.362
2012-09-30,2576.428
2012-12-31,2666.644
2013-03-31,966.441
2013-06-30,1781.46
2013-09-30,2058.863
2013-12-31,2361.537
2014-03-31,1901.643
2014-06-30,1346.683
2014-09-30,2643.934
2014-12-31,2666.124
2015-03-31,1689.436
2015-06-30,1608.508
2015-09-30,2637.494
2015-12-31,2694.74
2016-03-31,2663.187
2016-06-30,2642.903
2016-09-30,1787.36
2016-12-31,1152.592
2017-03-31,2647.751
2017-06-30,2650.692
2017-09-30,2646.734
2017-12-31,2702.81
2018-03-31,2610.683
2018-06-30,1208.581
2018-09-30,2644.785
2018-12-31,2704.24
2019-03-31,2647.401
2019-06-30,2658.275
2019-09-30,2353.514
2019-12-31,1588.544
2020-03-31,2614.937
2020-06-30,2657.068
2020-09-30,2653.979
2020-12-31,2656.498
2021-03-31,2411.247
2021-06-30,1074.999
2021-09-30,2542.146
2021-12-31,2546.34
