ds,y
2001-03-31,602.501
2001-06-30,894.983
2001-09-30,1542.591
2001-12-31,815.433
2002-03-31,1217.476
2002-06-30,1360.982
2002-09-30,602.015
2002-12-31,844.276
2003-03-31,964.694
2003-06-30,1110.683
2003-09-30,990.314
2003-12-31,882.361
2004-03-31,1027.60809
2004-06-30,833.06538
2004-09-30,945.16731
2004-12-31,974.41022
2005-03-31,941.79741
2005-06-30,780.55231
2005-09-30,722.35089
2005-12-31,516.49239
2006-03-31,664.01047
2006-06-30,617.50668
2006-09-30,625.31545
2006-12-31,684.86839
2007-03-31,695.15565
2007-06-30,388.61441
2007-09-30,268.37244
2007-12-31,316.4445
2008-03-31,695.42575
2008-06-30,568.16309
2008-09-30,291.99735
2008-12-31,361.88383
2009-03-31,951.72217
2009-06-30,936.52895
2009-09-30,549.87254
2009-12-31,879.51735
2010-03-31,864.98215
2010-06-30,695.67048
2010-09-30,409.36337
2010-12-31,610.23
2011-03-31,763.12603
2011-06-30,977.50427
2011-09-30,535.59103
2011-12-31,693.09066
2012-03-31,963.72095
2012-06-30,341.1257
2012-09-30,450.7861
2012-12-31,606.14924
2013-03-31,919.63679
2013-06-30,831.4726
2013-09-30,805.58656
2013-12-31,718.51807
2014-03-31,932.64471
2014-06-30,676.12071
2014-09-30,646.16587
2014-12-31,888.63571
2015-03-31,985.42562
2015-06-30,759.91857
2015-09-30,810.27179
2015-12-31,847.86502
2016-03-31,1063.49865
2016-06-30,740.181
2016-09-30,945.93973
2016-12-31,728.31061
2017-03-31,1145.19911
2017-06-30,1253.35278
2017-09-30,1084.15291
2017-12-31,1023.31321
2018-03-31,1101.22266
2018-06-30,1312.97832
2018-09-30,1063.71879
2018-12-31,939.91324
2019-03-31,914.25056
2019-06-30,1204.50144
2019-09-30,1103.3389
2019-12-31,1009.45112
2020-03-31,1039.42856
2020-06-30,1316.65572
2020-09-30,1378.65681
2020-12-31,1270.75191
2021-03-31,1238.40473
2021-06-30,1276.22452
2021-09-30,1362.22386
2021-12-31,1391.52216
