ds,y
2001-03-31,737.703
2001-06-30,845.611
2001-09-30,564.256
2001-12-31,497.553
2002-03-31,525.284
2002-06-30,969.91
2002-09-30,659.124
2002-12-31,613.529
2003-03-31,562.326
2003-06-30,798.277
2003-09-30,714.031
2003-12-31,1097.987
2004-03-31,1119.73553
2004-06-30,782.44207
2004-09-30,786.81247
2004-12-31,741.25914
2005-03-31,1045.34229
2005-06-30,1119.30439
2005-09-30,772.35929
2005-12-31,1153.92001
2006-03-31,1166.55192
2006-06-30,1118.85148
2006-09-30,1038.2522
2006-12-31,954.47665
2007-03-31,1010.60956
2007-06-30,1070.95568
2007-09-30,732.49523
2007-12-31,924.10711
2008-03-31,1221.59628
2008-06-30,1129.17848
2008-09-30,1062.29325
2008-12-31,1044.33737
2009-03-31,1176.86599
2009-06-30,1083.19781
2009-09-30,1046.9643
2009-12-31,904.65048
2010-03-31,1086.19223
2010-06-30,1011.43878
2010-09-30,731.73978
2010-12-31,981.01045
2011-03-31,1067.90167
2011-06-30,1044.34345
2011-09-30,853.50294
2011-12-31,1013.22983
2012-03-31,990.73219
2012-06-30,942.98058
2012-09-30,807.97937
2012-12-31,990.9122
2013-03-31,979.18511
2013-06-30,1036.52102
2013-09-30,821.0464
2013-12-31,723.70228
2014-03-31,875.53621
2014-06-30,1057.08381
2014-09-30,887.27825
2014-12-31,803.35022
2015-03-31,965.9982
2015-06-30,930.18656
2015-09-30,707.59492
2015-12-31,756.74748
2016-03-31,982.4199
2016-06-30,786.02143
2016-09-30,629.19159
2016-12-31,602.05474
2017-03-31,829.83557
2017-06-30,1248.11136
2017-09-30,615.16227
2017-12-31,695.66782
2018-03-31,921.86813
2018-06-30,880.75615
2018-09-30,480.08492
2018-12-31,978.3448
2019-03-31,1132.48123
2019-06-30,1167.63272
2019-09-30,394.33152
2019-12-31,804.89553
2020-03-31,1092.16103
2020-06-30,1001.17076
2020-09-30,322.19852
2020-12-31,742.6647
2021-03-31,775.27553
2021-06-30,718.14691
2021-09-30,729.75251
2021-12-31,745.94326
