ds,y
2001-03-31,444.533
2001-06-30,465.494
2001-09-30,101.36
2001-12-31,172.131
2002-03-31,391.377
2002-06-30,678.32
2002-09-30,85.309
2002-12-31,505.983
2003-03-31,605.065
2003-06-30,765.156
2003-09-30,520.778
2003-12-31,755.985
2004-03-31,627.0381
2004-06-30,706.75321
2004-09-30,536.82777
2004-12-31,636.9019
2005-03-31,678.06997
2005-06-30,397.4832
2005-09-30,114.79292
2005-12-31,513.29292
2006-03-31,685.41481
2006-06-30,434.88645
2006-09-30,403.63809
2006-12-31,580.33566
2007-03-31,645.27575
2007-06-30,491.67758
2007-09-30,108.27726
2007-12-31,406.98588
2008-03-31,911.27266
2008-06-30,553.26445
2008-09-30,140.15202
2008-12-31,369.38888
2009-03-31,516.97613
2009-06-30,541.55828
2009-09-30,312.97825
2009-12-31,517.25635
2010-03-31,596.15301
2010-06-30,421.93041
2010-09-30,118.38057
2010-12-31,530.93202
2011-03-31,560.61138
2011-06-30,802.86524
2011-09-30,359.39443
2011-12-31,824.25197
2012-03-31,630.76714
2012-06-30,470.43637
2012-09-30,139.96477
2012-12-31,415.37074
2013-03-31,582.76272
2013-06-30,498.17787
2013-09-30,289.046
2013-12-31,357.0334
2014-03-31,504.57201
2014-06-30,664.29988
2014-09-30,206.00329
2014-12-31,240.64783
2015-03-31,383.49536
2015-06-30,575.35939
2015-09-30,311.23822
2015-12-31,353.09703
2016-03-31,663.87649
2016-06-30,363.299
2016-09-30,104.05787
2016-12-31,260.95365
2017-03-31,674.86754
2017-06-30,714.87653
2017-09-30,294.33421
2017-12-31,281.38074
2018-03-31,605.68429
2018-06-30,676.72212
2018-09-30,674.88992
2018-12-31,873.58969
2019-03-31,819.2116
2019-06-30,761.15989
2019-09-30,236.87084
2019-12-31,370.80868
2020-03-31,728.24086
2020-06-30,596.42723
2020-09-30,125.51722
2020-12-31,246.61769
2021-03-31,596.87232
2021-06-30,503.21633
2021-09-30,496.56746
2021-12-31,523.34522
