ds,y
2001-03-31,2375.734
2001-06-30,2503.422
2001-09-30,4395.09
2001-12-31,3899.266
2002-03-31,3592.281
2002-06-30,3632.394
2002-09-30,5758.384
2002-12-31,2870.359
2003-03-31,3479.99
2003-06-30,2443.408
2003-09-30,3330.433
2003-12-31,2120.712
2004-03-31,3503.91848
2004-06-30,3718.64061
2004-09-30,3925.09757
2004-12-31,3400.0464
2005-03-31,2840.02041
2005-06-30,3319.45633
2005-09-30,5223.93077
2005-12-31,2380.4846
2006-03-31,2138.53465
2006-06-30,2664.03387
2006-09-30,4224.64725
2006-12-31,2382.7393
2007-03-31,2984.79313
2007-06-30,3093.79135
2007-09-30,4244.0661
2007-12-31,2818.33348
2008-03-31,2930.80508
2008-06-30,1978.37665
2008-09-30,3192.49285
2008-12-31,1500.36211
2009-03-31,2308.72383
2009-06-30,1528.91271
2009-09-30,2783.65221
2009-12-31,1798.26195
2010-03-31,1723.54971
2010-06-30,3060.10109
2010-09-30,4768.29743
2010-12-31,2697.31331
2011-03-31,3006.68842
2011-06-30,2506.19005
2011-09-30,4394.45514
2011-12-31,3074.72032
2012-03-31,5436.3342
2012-06-30,7310.6727
2012-09-30,6453.0386
2012-12-31,2548.31235
2013-03-31,2563.07811
2013-06-30,3537.79526
2013-09-30,3546.52979
2013-12-31,2693.98877
2014-03-31,3750.44767
2014-06-30,3079.37928
2014-09-30,2744.51957
2014-12-31,2948.49046
2015-03-31,5051.8673
2015-06-30,4238.50525
2015-09-30,5221.56872
2015-12-31,5532.8563
2016-03-31,6443.13485
2016-06-30,8108.62814
2016-09-30,8643.25085
2016-12-31,6100.14005
2017-03-31,5911.87056
2017-06-30,6083.65485
2017-09-30,7295.88341
2017-12-31,6839.24926
2018-03-31,8203.76648
2018-06-30,8280.98955
2018-09-30,8173.3384
2018-12-31,6328.79716
2019-03-31,7605.07313
2019-06-30,7775.33066
2019-09-30,10027.63199
2019-12-31,9021.48951
2020-03-31,9752.93552
2020-06-30,8486.62452
2020-09-30,10187.98087
2020-12-31,8006.29827
2021-03-31,7294.72034
2021-06-30,6929.86028
2021-09-30,9081.98029
2021-12-31,7519.83082
