ds,y
2001-03-31,591.774
2001-06-30,604.276
2001-09-30,669.638
2001-12-31,641.597
2002-03-31,600.3399999999999
2002-06-30,601.652
2002-09-30,675.1679999999999
2002-12-31,623.934
2003-03-31,720.1569999999999
2003-06-30,663.0040099999999
2003-09-30,736.3789999999999
2003-12-31,684.6039999999999
2004-03-31,666.49876
2004-06-30,655.6336000000001
2004-09-30,786.37945
2004-12-31,739.44286
2005-03-31,716.7145399999999
2005-06-30,749.95838
2005-09-30,847.04015
2005-12-31,740.6229500000001
2006-03-31,739.65971
2006-06-30,747.16441
2006-09-30,776.5372600000001
2006-12-31,739.5070000000001
2007-03-31,632.65766
2007-06-30,680.9771000000001
2007-09-30,714.38681
2007-12-31,688.96848
2008-03-31,672.77139
2008-06-30,710.97081
2008-09-30,694.08732
2008-12-31,658.07205
2009-03-31,606.19265
2009-06-30,638.92931
2009-09-30,688.46561
2009-12-31,733.78222
2010-03-31,717.79024
2010-06-30,760.5370499999999
2010-09-30,701.2590700000001
2010-12-31,624.20217
2011-03-31,671.62067
2011-06-30,694.10177
2011-09-30,766.0319999999999
2011-12-31,737.25265
2012-03-31,677.86469
2012-06-30,750.40087
2012-09-30,831.89183
2012-12-31,788.25635
2013-03-31,689.6649700000002
2013-06-30,806.0172
2013-09-30,789.6823300000001
2013-12-31,741.7712500000001
2014-03-31,767.6607200000001
2014-06-30,801.13534
2014-09-30,828.4828399999999
2014-12-31,812.7559799999999
2015-03-31,702.18642
2015-06-30,701.90184
2015-09-30,778.3702
2015-12-31,707.2147899999998
2016-03-31,695.54364
2016-06-30,666.02406
2016-09-30,738.42567
2016-12-31,696.7361900000003
2017-03-31,659.7993500000001
2017-06-30,690.6764700000001
2017-09-30,704.8422800000001
2017-12-31,698.3321300000001
2018-03-31,685.0351900000003
2018-06-30,674.9582300000001
2018-09-30,696.0137900000002
2018-12-31,727.34034
2019-03-31,702.65701
2019-06-30,613.87336
2019-09-30,616.33859
2019-12-31,554.6364699999999
2020-03-31,588.3378
2020-06-30,519.31346
2020-09-30,517.69292
2020-12-31,611.5204499999999
2021-03-31,628.84712
2021-06-30,580.57003
2021-09-30,621.9026100000001
2021-12-31,587.0378199999998
