ds,y
2001-03-31,2717.382
2001-06-30,2029.169
2001-09-30,2392.223
2001-12-31,2785.108
2002-03-31,2731.167
2002-06-30,2593.649
2002-09-30,2135.498
2002-12-31,2599.145
2003-03-31,2706.858
2003-06-30,2575.549
2003-09-30,2794.853
2003-12-31,2825.196
2004-03-31,1789.591
2004-06-30,2791.824
2004-09-30,2809.958
2004-12-31,2841.393
2005-03-31,2687.611
2005-06-30,2789.609
2005-09-30,2385.277
2005-12-31,2215.349
2006-03-31,2680.251
2006-06-30,2283.371
2006-09-30,2642.425
2006-12-31,2812.539
2007-03-31,2273.747
2007-06-30,2127.351
2007-09-30,2150.511
2007-12-31,2807.175
2008-03-31,2312.942
2008-06-30,2753.965
2008-09-30,2483.289
2008-12-31,1846.594
2009-03-31,2744.271
2009-06-30,2736.041
2009-09-30,2742.762
2009-12-31,2775.441
2010-03-31,2485.875
2010-06-30,1644.187
2010-09-30,2745.345
2010-12-31,2767.834
2011-03-31,2633.908
2011-06-30,2560.579
2011-09-30,2637.993
2011-12-31,2504.309
2012-03-31,1426.039
2012-06-30,254.108
2012-09-30,2871.287
2012-12-31,2744.7
2013-03-31,2335.89
2013-06-30,3080.364
2013-09-30,2847.257
2013-12-31,2600.998
2014-03-31,1439.625
2014-06-30,2749.146
2014-09-30,2926.937
2014-12-31,3136.475
2015-03-31,2673.322
2015-06-30,2993.746
2015-09-30,3002.035
2015-12-31,3045.485
2016-03-31,1628.52
2016-06-30,2732.609
2016-09-30,1576.182
2016-12-31,-40.039
2017-03-31,1707.25
2017-06-30,2367.763
2017-09-30,1643.099
2017-12-31,1646.536
2018-03-31,2187.877
2018-06-30,177.092
2018-09-30,1722.304
2018-12-31,2832.197
2019-03-31,2883.349
2019-06-30,2678.141
2019-09-30,3034.274
2019-12-31,2436.75
2020-03-31,1778.535
2020-06-30,766.307
2020-09-30,2114.038
2020-12-31,1812.054
2021-03-31,3054.893
2021-06-30,2632.037
2021-09-30,3054.909
2021-12-31,3030.219
