ds,y
2001-03-31,0.0
2001-06-30,0.0
2001-09-30,0.0
2001-12-31,0.0
2002-03-31,0.0
2002-06-30,0.0
2002-09-30,0.0
2002-12-31,0.0
2003-03-31,0.0
2003-06-30,0.0
2003-09-30,0.0
2003-12-31,0.0
2004-03-31,0.0
2004-06-30,0.0
2004-09-30,0.0
2004-12-31,0.0
2005-03-31,0.0
2005-06-30,0.0
2005-09-30,0.0
2005-12-31,0.0
2006-03-31,0.0
2006-06-30,0.0
2006-09-30,0.0
2006-12-31,0.0
2007-03-31,0.0
2007-06-30,0.0
2007-09-30,0.0
2007-12-31,0.0
2008-03-31,0.0
2008-06-30,0.0
2008-09-30,0.0
2008-12-31,0.0
2009-03-31,0.0
2009-06-30,0.0
2009-09-30,0.0
2009-12-31,0.0
2010-03-31,0.0
2010-06-30,0.0
2010-09-30,0.0
2010-12-31,0.0
2011-03-31,0.0
2011-06-30,0.0
2011-09-30,0.0
2011-12-31,0.0
2012-03-31,0.0
2012-06-30,0.0
2012-09-30,0.0
2012-12-31,0.0
2013-03-31,0.0
2013-06-30,0.0
2013-09-30,0.0
2013-12-31,0.0
2014-03-31,16.3437
2014-06-30,32.53256
2014-09-30,43.7719
2014-12-31,29.09752
2015-03-31,31.89359
2015-06-30,47.07703
2015-09-30,49.82806
2015-12-31,33.28231
2016-03-31,38.17962
2016-06-30,57.08122
2016-09-30,62.69377
2016-12-31,41.83798
2017-03-31,50.75899
2017-06-30,76.72337
2017-09-30,81.07298
2017-12-31,51.99823
2018-03-31,62.4086
2018-06-30,95.29369
2018-09-30,99.83912
2018-12-31,66.17415
2019-03-31,70.06718
2019-06-30,117.44133
2019-09-30,128.01991
2019-12-31,77.64562
2020-03-31,92.67048
2020-06-30,134.52761
2020-09-30,140.70465
2020-12-31,93.062
2021-03-31,102.01809
2021-06-30,158.21126
2021-09-30,172.02726
2021-12-31,114.48153
