ds,y
2001-03-31,1734.804
2001-06-30,1814.377
2001-09-30,1541.07
2001-12-31,1523.226
2002-03-31,1856.884
2002-06-30,2937.754
2002-09-30,2828.148
2002-12-31,1944.125
2003-03-31,1572.503
2003-06-30,2925.724
2003-09-30,2326.306
2003-12-31,1877.239
2004-03-31,1646.19713
2004-06-30,2525.37623
2004-09-30,2544.78355
2004-12-31,2139.67406
2005-03-31,1539.10481
2005-06-30,3182.93754
2005-09-30,2661.09161
2005-12-31,2204.21505
2006-03-31,2096.41281
2006-06-30,3662.86565
2006-09-30,2405.59684
2006-12-31,1965.28571
2007-03-31,2017.73759
2007-06-30,3344.18423
2007-09-30,2222.81087
2007-12-31,1779.60333
2008-03-31,1639.85314
2008-06-30,3367.89306
2008-09-30,2893.98461
2008-12-31,2097.8262
2009-03-31,1784.30306
2009-06-30,3422.63504
2009-09-30,2173.96742
2009-12-31,2125.03449
2010-03-31,1610.27629
2010-06-30,2966.58562
2010-09-30,2643.91503
2010-12-31,2193.88506
2011-03-31,2807.75106
2011-06-30,4061.7183
2011-09-30,3340.78855
2011-12-31,2385.62344
2012-03-31,1957.80268
2012-06-30,4061.46672
2012-09-30,2819.3919
2012-12-31,2444.8037
2013-03-31,1831.90186
2013-06-30,3600.17745
2013-09-30,2179.0686
2013-12-31,2027.11188
2014-03-31,1937.7091
2014-06-30,4373.23771
2014-09-30,2684.45943
2014-12-31,2487.34475
2015-03-31,2585.95624
2015-06-30,3516.48603
2015-09-30,1767.87768
2015-12-31,2017.40906
2016-03-31,1891.35091
2016-06-30,3470.26136
2016-09-30,1831.35816
2016-12-31,2889.55859
2017-03-31,2576.74759
2017-06-30,2956.1576
2017-09-30,2936.23276
2017-12-31,2477.32305
2018-03-31,2855.26444
2018-06-30,3327.51382
2018-09-30,2945.89924
2018-12-31,2275.9315
2019-03-31,2321.50566
2019-06-30,2839.96207
2019-09-30,2880.64748
2019-12-31,1962.40781
2020-03-31,2395.45787
2020-06-30,3043.51414
2020-09-30,2882.69566
2020-12-31,2425.86732
2021-03-31,2704.42717
2021-06-30,2519.48039
2021-09-30,2114.78015
2021-12-31,2435.80527
