ds,y
2001-03-31,0.0
2001-06-30,0.0
2001-09-30,0.0
2001-12-31,0.0
2002-03-31,0.0
2002-06-30,0.0
2002-09-30,0.0
2002-12-31,0.0
2003-03-31,0.0
2003-06-30,0.0
2003-09-30,0.0
2003-12-31,0.0
2004-03-31,0.0
2004-06-30,0.0
2004-09-30,0.0
2004-12-31,0.0
2005-03-31,0.0
2005-06-30,0.0
2005-09-30,0.0
2005-12-31,0.0
2006-03-31,0.0
2006-06-30,0.0
2006-09-30,0.0
2006-12-31,0.0
2007-03-31,0.0
2007-06-30,0.0
2007-09-30,0.0
2007-12-31,0.0
2008-03-31,0.0
2008-06-30,0.0
2008-09-30,0.0
2008-12-31,10.319
2009-03-31,17.0375
2009-06-30,16.33098
2009-09-30,12.10148
2009-12-31,17.00703
2010-03-31,18.58344
2010-06-30,14.94785
2010-09-30,12.53369
2010-12-31,29.62304
2011-03-31,19.09222
2011-06-30,12.70532
2011-09-30,10.94974
2011-12-31,23.34473
2012-03-31,43.02484
2012-06-30,52.76671
2012-09-30,48.16671
2012-12-31,64.74075
2013-03-31,109.48384
2013-06-30,101.7976
2013-09-30,78.41132
2013-12-31,99.49125
2014-03-31,130.91425
2014-06-30,97.17296
2014-09-30,72.24703
2014-12-31,111.24675
2015-03-31,138.87059
2015-06-30,103.59971
2015-09-30,61.23128
2015-12-31,119.79442
2016-03-31,140.51935
2016-06-30,94.32937
2016-09-30,79.70828
2016-12-31,117.76701
2017-03-31,125.29125
2017-06-30,92.19818
2017-09-30,67.03563
2017-12-31,127.06694
2018-03-31,130.65821
2018-06-30,88.31573
2018-09-30,62.51676
2018-12-31,125.16829
2019-03-31,135.28475
2019-06-30,96.98409
2019-09-30,66.61506
2019-12-31,134.52111
2020-03-31,144.775
2020-06-30,133.97724
2020-09-30,87.437
2020-12-31,158.683
2021-03-31,153.161
2021-06-30,128.071
2021-09-30,83.109
2021-12-31,139.889
