ds,y
2001-03-31,2619.214
2001-06-30,2112.234
2001-09-30,2577.45
2001-12-31,2010.141
2002-03-31,2135.404
2002-06-30,1864.037
2002-09-30,2848.943
2002-12-31,2756.67
2003-03-31,2890.122
2003-06-30,1574.331
2003-09-30,2900.415
2003-12-31,2424.694
2004-03-31,2534.92731
2004-06-30,2171.43188
2004-09-30,3025.67038
2004-12-31,2590.454
2005-03-31,2889.27775
2005-06-30,2245.33472
2005-09-30,3338.44581
2005-12-31,3152.36062
2006-03-31,2903.57143
2006-06-30,2367.44546
2006-09-30,2923.89687
2006-12-31,2667.01152
2007-03-31,2420.52215
2007-06-30,2065.16498
2007-09-30,3000.19482
2007-12-31,2724.78814
2008-03-31,2592.63929
2008-06-30,1765.17752
2008-09-30,2918.51359
2008-12-31,1752.16085
2009-03-31,1672.84306
2009-06-30,544.26498
2009-09-30,1406.86038
2009-12-31,1475.9
2010-03-31,1856.61886
2010-06-30,1655.33756
2010-09-30,1861.50285
2010-12-31,1044.43175
2011-03-31,1216.20906
2011-06-30,1244.72296
2011-09-30,1407.51427
2011-12-31,286.65074
2012-03-31,315.93505
2012-06-30,327.999
2012-09-30,913.62468
2012-12-31,339.91616
2013-03-31,625.73488
2013-06-30,419.46576
2013-09-30,559.74166
2013-12-31,416.67608
2014-03-31,1173.04169
2014-06-30,419.83165
2014-09-30,569.04351
2014-12-31,357.18936
2015-03-31,865.58483
2015-06-30,271.6887
2015-09-30,327.63631
2015-12-31,294.18584
2016-03-31,330.61739
2016-06-30,284.40592
2016-09-30,399.62488
2016-12-31,299.89287
2017-03-31,339.78109
2017-06-30,253.44063
2017-09-30,316.86264
2017-12-31,306.00674
2018-03-31,375.05598
2018-06-30,244.9776
2018-09-30,313.7726
2018-12-31,259.48175
2019-03-31,287.8939
2019-06-30,244.5312
2019-09-30,263.32218
2019-12-31,245.78122
2020-03-31,235.6794
2020-06-30,222.34236
2020-09-30,254.03394
2020-12-31,204.66245
2021-03-31,273.40943
2021-06-30,186.89381
2021-09-30,366.83353
2021-12-31,199.15742
