ds,y
2001-03-31,8249.802
2001-06-30,8501.442
2001-09-30,8842.969
2001-12-31,8017.43
2002-03-31,7073.86
2002-06-30,8115.179
2002-09-30,7922.217
2002-12-31,7550.45
2003-03-31,7796.455
2003-06-30,8397.357
2003-09-30,8782.462
2003-12-31,7759.378
2004-03-31,7395.48108
2004-06-30,8190.43083
2004-09-30,8940.91766
2004-12-31,8413.531
2005-03-31,8379.14299
2005-06-30,8452.13087
2005-09-30,9536.66768
2005-12-31,8767.70047
2006-03-31,8514.28746
2006-06-30,9087.09014
2006-09-30,10260.77745
2006-12-31,9403.46951
2007-03-31,8733.38136
2007-06-30,8264.08833
2007-09-30,10216.02749
2007-12-31,8771.83565
2008-03-31,7590.35026
2008-06-30,9159.70077
2008-09-30,10035.105
2008-12-31,10224.68091
2009-03-31,9339.74986
2009-06-30,9823.25341
2009-09-30,10607.8977
2009-12-31,9903.43773
2010-03-31,7913.17664
2010-06-30,8629.34752
2010-09-30,10150.91551
2010-12-31,9558.10251
2011-03-31,9413.597
2011-06-30,9094.14711
2011-09-30,10536.41596
2011-12-31,9136.97925
2012-03-31,8892.58819
2012-06-30,8499.96104
2012-09-30,10309.97703
2012-12-31,8933.38319
2013-03-31,9063.11887
2013-06-30,8773.95009
2013-09-30,9530.19809
2013-12-31,8503.69814
2014-03-31,7707.40981
2014-06-30,8211.30524
2014-09-30,8765.983
2014-12-31,7621.51183
2015-03-31,7235.39559
2015-06-30,8078.10711
2015-09-30,8881.46824
2015-12-31,8506.42736
2016-03-31,7646.44054
2016-06-30,7349.30281
2016-09-30,8520.64645
2016-12-31,9395.65505
2017-03-31,8667.43413
2017-06-30,7841.06731
2017-09-30,9171.58806
2017-12-31,7917.32315
2018-03-31,6237.73167
2018-06-30,7985.18953
2018-09-30,9310.12778
2018-12-31,9140.63289
2019-03-31,8122.56631
2019-06-30,7998.58274
2019-09-30,10250.02761
2019-12-31,8803.33327
2020-03-31,8403.69819
2020-06-30,8105.20301
2020-09-30,10147.1257
2020-12-31,7419.55754
2021-03-31,8194.73325
2021-06-30,8389.05149
2021-09-30,9608.17123
2021-12-31,9079.33908
