ds,y
2001-03-31,6883.214
2001-06-30,5500.198
2001-09-30,6126.905
2001-12-31,4921.605
2002-03-31,5191.852
2002-06-30,5104.833
2002-09-30,6443.572
2002-12-31,6498.855
2003-03-31,6377.459
2003-06-30,5121.347
2003-09-30,6213.763
2003-12-31,5868.499
2004-03-31,6233.95455
2004-06-30,5503.59542
2004-09-30,6097.75123
2004-12-31,5017.40281
2005-03-31,5106.71333
2005-06-30,4347.46448
2005-09-30,5875.69833
2005-12-31,5267.76356
2006-03-31,5533.30459
2006-06-30,4951.86097
2006-09-30,5801.16988
2006-12-31,4681.50448
2007-03-31,5750.68815
2007-06-30,5040.75478
2007-09-30,5514.46915
2007-12-31,5099.63035
2008-03-31,5426.04209
2008-06-30,4378.41119
2008-09-30,5090.0876
2008-12-31,4259.58447
2009-03-31,4277.23789
2009-06-30,2685.99299
2009-09-30,3138.29665
2009-12-31,2657.34507
2010-03-31,3864.44075
2010-06-30,2655.49125
2010-09-30,4187.2308
2010-12-31,2875.6032
2011-03-31,3193.99043
2011-06-30,2301.85535
2011-09-30,2951.85313
2011-12-31,978.4613
2012-03-31,1040.60591
2012-06-30,457.89654
2012-09-30,1817.32708
2012-12-31,1235.20958
2013-03-31,1851.75748
2013-06-30,905.79217
2013-09-30,1014.74739
2013-12-31,924.8077
2014-03-31,2377.65112
2014-06-30,953.14709
2014-09-30,754.29713
2014-12-31,506.95877
2015-03-31,1126.48254
2015-06-30,437.16672
2015-09-30,533.23882
2015-12-31,283.17745
2016-03-31,418.03386
2016-06-30,324.02841
2016-09-30,836.69256
2016-12-31,191.48305
2017-03-31,272.52225
2017-06-30,190.72708
2017-09-30,137.31259
2017-12-31,169.73423
2018-03-31,383.93236
2018-06-30,14.40394
2018-09-30,219.0278
2018-12-31,73.02153
2019-03-31,333.04071
2019-06-30,9.5499
2019-09-30,79.3608
2019-12-31,0.0
2020-03-31,143.69153
2020-06-30,0.0
2020-09-30,0.0
2020-12-31,0.0
2021-03-31,0.0
2021-06-30,0.0
2021-09-30,0.0
2021-12-31,0.0
