ds,y
2001-03-31,6233.267
2001-06-30,6016.863
2001-09-30,5074.493
2001-12-31,5759.331
2002-03-31,6490.414
2002-06-30,6847.917
2002-09-30,5616.165
2002-12-31,6093.398
2003-03-31,5750.304
2003-06-30,6050.753
2003-09-30,5817.604
2003-12-31,6649.999
2004-03-31,6009.43759
2004-06-30,5817.17355
2004-09-30,5960.49207
2004-12-31,6202.5581
2005-03-31,7052.6875
2005-06-30,6739.82252
2005-09-30,5571.48422
2005-12-31,6418.52411
2006-03-31,7259.88483
2006-06-30,6627.34234
2006-09-30,6688.01112
2006-12-31,6769.41692
2007-03-31,7143.36767
2007-06-30,6446.69964
2007-09-30,5614.70974
2007-12-31,6047.77839
2008-03-31,6692.01932
2008-06-30,6796.38684
2008-09-30,6486.66151
2008-12-31,6748.06345
2009-03-31,6884.62559
2009-06-30,7027.22539
2009-09-30,6739.30926
2009-12-31,6963.94614
2010-03-31,6508.14963
2010-06-30,6185.96606
2010-09-30,6178.8313
2010-12-31,6598.75005
2011-03-31,6274.79596
2011-06-30,7232.72084
2011-09-30,6930.85038
2011-12-31,7558.62044
2012-03-31,7502.69048
2012-06-30,6168.68849
2012-09-30,5300.32416
2012-12-31,5680.78808
2013-03-31,6242.37483
2013-06-30,5802.59063
2013-09-30,6228.78381
2013-12-31,6699.54002
2014-03-31,6113.61242
2014-06-30,6592.59734
2014-09-30,6605.30277
2014-12-31,6775.38974
2015-03-31,5939.60198
2015-06-30,6181.11065
2015-09-30,7099.75938
2015-12-31,6794.04799
2016-03-31,6814.37867
2016-06-30,6981.28402
2016-09-30,6479.93069
2016-12-31,6612.64062
2017-03-31,7258.21189
2017-06-30,7525.6074
2017-09-30,7672.19127
2017-12-31,7688.92188
2018-03-31,7196.9827
2018-06-30,7524.57573
2018-09-30,7310.32819
2018-12-31,7598.11339
2019-03-31,7439.37147
2019-06-30,7452.60394
2019-09-30,7961.34667
2019-12-31,7767.57295
2020-03-31,7437.5349
2020-06-30,7473.93708
2020-09-30,7416.06083
2020-12-31,7222.34938
2021-03-31,6966.68638
2021-06-30,6826.06212
2021-09-30,6943.72195
2021-12-31,7236.64308
