ds,y
2001-03-31,36432.033
2001-06-30,33773.814
2001-09-30,37622.205
2001-12-31,34433.757
2002-03-31,35961.153
2002-06-30,36031.682
2002-09-30,39334.86
2002-12-31,35741.152
2003-03-31,36935.801
2003-06-30,32497.949
2003-09-30,39107.132
2003-12-31,38097.246
2004-03-31,36105.37295
2004-06-30,36523.91573
2004-09-30,38387.20706
2004-12-31,37329.40957
2005-03-31,37969.21865
2005-06-30,35315.01062
2005-09-30,43259.73998
2005-12-31,40432.35354
2006-03-31,38102.1241
2006-06-30,35883.19781
2006-09-30,42111.17101
2006-12-31,39337.58228
2007-03-31,37842.36626
2007-06-30,35168.96674
2007-09-30,42976.79134
2007-12-31,39167.42102
2008-03-31,39786.16295
2008-06-30,36676.42928
2008-09-30,39500.78921
2008-12-31,37448.86966
2009-03-31,35171.7582
2009-06-30,29757.10428
2009-09-30,36242.06366
2009-12-31,34919.2991
2010-03-31,35459.80218
2010-06-30,32924.80938
2010-09-30,40210.96316
2010-12-31,35002.76201
2011-03-31,36750.2657
2011-06-30,30839.77285
2011-09-30,39819.63627
2011-12-31,28176.12966
2012-03-31,32619.09387
2012-06-30,30718.78413
2012-09-30,36360.18374
2012-12-31,30047.66888
2013-03-31,35041.5704
2013-06-30,32032.85756
2013-09-30,35970.04835
2013-12-31,34239.71237
2014-03-31,37466.06835
2014-06-30,30805.24555
2014-09-30,35587.22842
2014-12-31,30617.86268
2015-03-31,36135.54238
2015-06-30,26708.3256
2015-09-30,33706.03016
2015-12-31,25343.50333
2016-03-31,28518.39045
2016-06-30,26272.4438
2016-09-30,35033.00262
2016-12-31,29098.24072
2017-03-31,29912.03254
2017-06-30,28495.56712
2017-09-30,31498.71341
2017-12-31,29648.05256
2018-03-31,32769.3882
2018-06-30,27394.63207
2018-09-30,33028.5535
2018-12-31,32992.03608
2019-03-31,32221.49667
2019-06-30,28422.27096
2019-09-30,31610.01755
2019-12-31,27747.34085
2020-03-31,30671.39267
2020-06-30,25993.62563
2020-09-30,32381.97183
2020-12-31,31945.74271
2021-03-31,31329.52397
2021-06-30,26731.65729
2021-09-30,34259.05147
2021-12-31,31015.37528
