ds,y
2001-03-31,32645.524
2001-06-30,29459.943
2001-09-30,32622.05
2001-12-31,29485.719
2002-03-31,31933.852
2002-06-30,33079.597
2002-09-30,35200.492
2002-12-31,32739.125
2003-03-31,33822.396
2003-06-30,30897.965
2003-09-30,35163.398
2003-12-31,34885.379
2004-03-31,32566.99706
2004-06-30,31106.12144
2004-09-30,32542.0486
2004-12-31,31941.61469
2005-03-31,34977.88779
2005-06-30,30515.21971
2005-09-30,36442.72296
2005-12-31,34889.76769
2006-03-31,33311.17241
2006-06-30,30893.16255
2006-09-30,35412.30625
2006-12-31,33783.51518
2007-03-31,32298.0972
2007-06-30,30756.99912
2007-09-30,36476.84189
2007-12-31,33598.74087
2008-03-31,34996.43462
2008-06-30,31115.4849
2008-09-30,32845.41473
2008-12-31,31736.97576
2009-03-31,30164.51101
2009-06-30,25432.32752
2009-09-30,28841.6884
2009-12-31,29273.46981
2010-03-31,30408.98317
2010-06-30,28339.94741
2010-09-30,31952.89764
2010-12-31,27126.1808
2011-03-31,28724.33019
2011-06-30,24826.95691
2011-09-30,30717.23426
2011-12-31,21068.43576
2012-03-31,20851.80188
2012-06-30,20904.83137
2012-09-30,24606.45736
2012-12-31,19225.54557
2013-03-31,23924.85377
2013-06-30,22898.95072
2013-09-30,25073.51013
2013-12-31,22666.57021
2014-03-31,26816.97923
2014-06-30,20117.13471
2014-09-30,22799.32265
2014-12-31,20145.61504
2015-03-31,23370.01902
2015-06-30,15307.77609
2015-09-30,20233.43573
2015-12-31,12798.29894
2016-03-31,15390.04675
2016-06-30,15380.44008
2016-09-30,21466.02225
2016-12-31,16538.65494
2017-03-31,18443.89659
2017-06-30,16830.41852
2017-09-30,17920.032
2017-12-31,15149.28872
2018-03-31,16835.67406
2018-06-30,11769.9401
2018-09-30,15523.98364
2018-12-31,14597.36445
2019-03-31,14140.33736
2019-06-30,10621.22536
2019-09-30,12400.79085
2019-12-31,9602.17534
2020-03-31,10770.30771
2020-06-30,8006.97831
2020-09-30,12693.73869
2020-12-31,13537.57139
2021-03-31,12464.49771
2021-06-30,9015.88018
2021-09-30,14794.80618
2021-12-31,9490.67757
