ds,y
2001-03-31,1002.241
2001-06-30,720.001
2001-09-30,311.81
2001-12-31,310.639
2002-03-31,477.282
2002-06-30,967.723
2002-09-30,352.693
2002-12-31,190.146
2003-03-31,353.72
2003-06-30,751.982
2003-09-30,399.959
2003-12-31,292.751
2004-03-31,701.24372
2004-06-30,891.88915
2004-09-30,620.90771
2004-12-31,762.63531
2005-03-31,993.49541
2005-06-30,738.32986
2005-09-30,657.82911
2005-12-31,240.70663
2006-03-31,93.25224
2006-06-30,292.03287
2006-09-30,132.8098
2006-12-31,105.48412
2007-03-31,605.05651
2007-06-30,1115.88294
2007-09-30,1021.99699
2007-12-31,322.92556
2008-03-31,929.8504
2008-06-30,1464.34538
2008-09-30,980.9906
2008-12-31,436.08664
2009-03-31,471.04374
2009-06-30,1313.23322
2009-09-30,693.13328
2009-12-31,1075.16275
2010-03-31,1038.86633
2010-06-30,958.14365
2010-09-30,685.74559
2010-12-31,126.03244
2011-03-31,408.68757
2011-06-30,769.45598
2011-09-30,119.84094
2011-12-31,208.9565
2012-03-31,465.44428
2012-06-30,547.10944
2012-09-30,77.78751
2012-12-31,55.17277
2013-03-31,199.3023
2013-06-30,1021.03272
2013-09-30,628.85018
2013-12-31,328.89281
2014-03-31,302.71616
2014-06-30,474.61519
2014-09-30,333.07111
2014-12-31,318.07054
2015-03-31,271.29529
2015-06-30,1072.0306
2015-09-30,717.20077
2015-12-31,603.37434
2016-03-31,815.16216
2016-06-30,861.66525
2016-09-30,599.34423
2016-12-31,297.25237
2017-03-31,557.72853
2017-06-30,631.02961
2017-09-30,443.75117
2017-12-31,403.69068
2018-03-31,553.11577
2018-06-30,615.78799
2018-09-30,445.0142
2018-12-31,420.97906
2019-03-31,1173.08988
2019-06-30,1226.42852
2019-09-30,927.38631
2019-12-31,576.3263
2020-03-31,740.25959
2020-06-30,899.4939
2020-09-30,667.36206
2020-12-31,547.32547
2021-03-31,716.71175
2021-06-30,659.99803
2021-09-30,665.28354
2021-12-31,667.34942
