ds,y
2001-03-31,0.0
2001-06-30,0.0
2001-09-30,0.0
2001-12-31,0.0
2002-03-31,0.0
2002-06-30,0.0
2002-09-30,0.0
2002-12-31,0.0
2003-03-31,0.0
2003-06-30,0.0
2003-09-30,0.0
2003-12-31,54.47
2004-03-31,145.479
2004-06-30,163.925
2004-09-30,123.955
2004-12-31,139.385
2005-03-31,125.269
2005-06-30,268.0872
2005-09-30,197.15249
2005-12-31,257.26432
2006-03-31,465.179
2006-06-30,438.748
2006-09-30,329.04
2006-12-31,479.474
2007-03-31,510.404
2007-06-30,439.114
2007-09-30,396.002
2007-12-31,503.624
2008-03-31,622.15956
2008-06-30,661.15536
2008-09-30,415.22558
2008-12-31,659.5393
2009-03-31,690.69569
2009-06-30,659.75091
2009-09-30,517.33432
2009-12-31,830.41853
2010-03-31,817.43244
2010-06-30,1073.94841
2010-09-30,834.32087
2010-12-31,1082.3815
2011-03-31,1325.74071
2011-06-30,1661.47835
2011-09-30,1011.66745
2011-12-31,1606.37852
2012-03-31,1993.96064
2012-06-30,2039.65482
2012-09-30,1538.76327
2012-12-31,2585.20646
2013-03-31,2732.67589
2013-06-30,3202.68542
2013-09-30,2222.73389
2013-12-31,3004.39779
2014-03-31,3103.15747
2014-06-30,3304.47712
2014-09-30,2438.32747
2014-12-31,3090.87098
2015-03-31,3068.02329
2015-06-30,3473.00159
2015-09-30,3401.76266
2015-12-31,4088.10947
2016-03-31,5175.69293
2016-06-30,4809.28029
2016-09-30,4465.36267
2016-12-31,5618.75316
2017-03-31,6468.5609
2017-06-30,6147.24081
2017-09-30,4283.79009
2017-12-31,6699.25122
2018-03-31,7717.94259
2018-06-30,7950.12172
2018-09-30,5098.3813
2018-12-31,6571.78241
2019-03-31,6823.96064
2019-06-30,7182.79684
2019-09-30,6794.76302
2019-12-31,8206.61021
2020-03-31,7757.96449
2020-06-30,8009.60895
2020-09-30,5595.32506
2020-12-31,8054.0788
2021-03-31,8389.66087
2021-06-30,8545.8925
2021-09-30,7256.71685
2021-12-31,9196.10947
