ds,y
2001-03-31,1175.867
2001-06-30,895.391
2001-09-30,1191.004
2001-12-31,1182.791
2002-03-31,1131.19
2002-06-30,523.068
2002-09-30,892.637
2002-12-31,1232.789
2003-03-31,1138.799
2003-06-30,794.545
2003-09-30,1196.755
2003-12-31,1174.748
2004-03-31,1188.7353
2004-06-30,376.2033
2004-09-30,775.4333
2004-12-31,1215.2893
2005-03-31,1192.05576
2005-06-30,826.067
2005-09-30,1151.833
2005-12-31,296.53
2006-03-31,-12.349
2006-06-30,40.612
2006-09-30,1149.736
2006-12-31,1192.629
2007-03-31,1088.79614
2007-06-30,785.3294
2007-09-30,1245.61258
2007-12-31,1231.88578
2008-03-31,1155.8614
2008-06-30,510.10056
2008-09-30,1140.88276
2008-12-31,1237.47409
2009-03-31,1186.50936
2009-06-30,126.12988
2009-09-30,632.76532
2009-12-31,1251.49697
2010-03-31,1202.3259
2010-06-30,498.15966
2010-09-30,1188.97803
2010-12-31,1236.97141
2011-03-31,889.7422
2011-06-30,220.49996
2011-09-30,1027.45193
2011-12-31,1195.82213
2012-03-31,796.71744
2012-06-30,0.0
2012-09-30,707.21502
2012-12-31,1130.40208
2013-03-31,1141.98068
2013-06-30,627.25477
2013-09-30,791.58987
2013-12-31,1198.17042
2014-03-31,959.27995
2014-06-30,131.90891
2014-09-30,1099.47537
2014-12-31,1001.92879
2015-03-31,25.75008
2015-06-30,279.19845
2015-09-30,1044.05751
2015-12-31,1028.35341
2016-03-31,308.3834
2016-06-30,101.6835
2016-09-30,966.87847
2016-12-31,521.25676
2017-03-31,553.76544
2017-06-30,0.0
2017-09-30,952.03054
2017-12-31,222.30872
2018-03-31,0.0
2018-06-30,29.68544
2018-09-30,812.30531
2018-12-31,634.40022
2019-03-31,804.55132
2019-06-30,0.0
2019-09-30,952.36299
2019-12-31,812.24523
2020-03-31,628.34652
2020-06-30,0.0
2020-09-30,890.5654
2020-12-31,111.23285
2021-03-31,0.0
2021-06-30,0.0
2021-09-30,0.0
2021-12-31,0.0
