ds,y
2001-03-31,1456.894
2001-06-30,1729.845
2001-09-30,2247.811
2001-12-31,2067.342
2002-03-31,1817.109
2002-06-30,1492.714
2002-09-30,1744.984
2002-12-31,2001.957
2003-03-31,1603.324
2003-06-30,962.619
2003-09-30,1710.911
2003-12-31,1344.29
2004-03-31,1062.21152
2004-06-30,1351.6142
2004-09-30,1335.62202
2004-12-31,1189.972
2005-03-31,1152.36383
2005-06-30,1653.14736
2005-09-30,1833.75199
2005-12-31,1414.0309
2006-03-31,1178.3154
2006-06-30,1255.21216
2006-09-30,1954.68957
2006-12-31,1579.50742
2007-03-31,1459.44914
2007-06-30,1402.63684
2007-09-30,2366.06139
2007-12-31,1821.69658
2008-03-31,1677.71159
2008-06-30,1863.56637
2008-09-30,2093.97085
2008-12-31,1752.01698
2009-03-31,1876.96083
2009-06-30,1627.30171
2009-09-30,2335.47553
2009-12-31,1857.08639
2010-03-31,1690.03834
2010-06-30,1872.29194
2010-09-30,2374.93854
2010-12-31,1801.45019
2011-03-31,1989.06491
2011-06-30,1947.32272
2011-09-30,2523.85696
2011-12-31,2262.02797
2012-03-31,1987.33222
2012-06-30,2055.6022
2012-09-30,2555.6746
2012-12-31,1710.42683
2013-03-31,901.54163
2013-06-30,1887.0967
2013-09-30,2194.53947
2013-12-31,1263.62892
2014-03-31,984.24906
2014-06-30,1654.27381
2014-09-30,2290.38868
2014-12-31,1352.83668
2015-03-31,1150.2086
2015-06-30,1955.30453
2015-09-30,2373.35173
2015-12-31,1460.15407
2016-03-31,1335.35323
2016-06-30,1729.33992
2016-09-30,2210.08082
2016-12-31,1290.11112
2017-03-31,1203.3615
2017-06-30,1920.66942
2017-09-30,2402.39171
2017-12-31,2088.5184
2018-03-31,1403.61175
2018-06-30,1873.9505
2018-09-30,3013.14307
2018-12-31,2084.5516
2019-03-31,1346.52015
2019-06-30,1807.69032
2019-09-30,2601.05015
2019-12-31,1869.14219
2020-03-31,1718.65563
2020-06-30,2262.11385
2020-09-30,2816.66457
2020-12-31,2097.50582
2021-03-31,1686.36147
2021-06-30,1581.84696
2021-09-30,2574.42217
2021-12-31,2192.38439
