ds,y
2001-03-31,0.0
2001-06-30,0.0
2001-09-30,0.0
2001-12-31,0.0
2002-03-31,0.0
2002-06-30,0.0
2002-09-30,0.0
2002-12-31,0.0
2003-03-31,0.0
2003-06-30,0.0
2003-09-30,0.0
2003-12-31,0.0
2004-03-31,0.0
2004-06-30,0.0
2004-09-30,0.0
2004-12-31,0.0
2005-03-31,0.0
2005-06-30,0.0
2005-09-30,0.0
2005-12-31,0.0
2006-03-31,0.0
2006-06-30,0.0
2006-09-30,0.0
2006-12-31,0.0
2007-03-31,0.0
2007-06-30,0.0
2007-09-30,0.0
2007-12-31,0.0
2008-03-31,0.0
2008-06-30,0.0
2008-09-30,0.0
2008-12-31,0.0
2009-03-31,0.0
2009-06-30,0.0
2009-09-30,0.0
2009-12-31,0.0
2010-03-31,0.0
2010-06-30,0.0
2010-09-30,0.0
2010-12-31,0.0
2011-03-31,0.0
2011-06-30,0.0
2011-09-30,0.0
2011-12-31,0.0
2012-03-31,0.0
2012-06-30,0.0
2012-09-30,0.0
2012-12-31,0.0
2013-03-31,0.0
2013-06-30,0.0
2013-09-30,0.0
2013-12-31,0.0
2014-03-31,16.18664
2014-06-30,24.68178
2014-09-30,24.40324
2014-12-31,21.85712
2015-03-31,27.3661
2015-06-30,41.02023
2015-09-30,40.19167
2015-12-31,27.25229
2016-03-31,32.90279
2016-06-30,46.96714
2016-09-30,49.80704
2016-12-31,34.69418
2017-03-31,34.66986
2017-06-30,54.89474
2017-09-30,51.7438
2017-12-31,37.80188
2018-03-31,49.15362
2018-06-30,77.46867
2018-09-30,79.58411
2018-12-31,51.86385
2019-03-31,69.98093
2019-06-30,135.56196
2019-09-30,135.9216
2019-12-31,78.57978
2020-03-31,71.93552
2020-06-30,136.15268
2020-09-30,124.96619
2020-12-31,80.33791
2021-03-31,78.43811
2021-06-30,136.03987
2021-09-30,127.32685
2021-12-31,82.20714
