ds,y
2001-03-31,32925.167
2001-06-30,33529.294
2001-09-30,37577.582
2001-12-31,31067.878
2002-03-31,33171.888
2002-06-30,35389.584
2002-09-30,38621.282
2002-12-31,34664.487
2003-03-31,34369.658
2003-06-30,36491.836
2003-09-30,39306.669
2003-12-31,36821.348
2004-03-31,35304.004
2004-06-30,36577.42
2004-09-30,40413.364
2004-12-31,36589.867
2005-03-31,36303.732
2005-06-30,35910.728
2005-09-30,39465.905
2005-12-31,36677.658
2006-03-31,33736.731
2006-06-30,35250.202
2006-09-30,40663.0
2006-12-31,36741.408
2007-03-31,34114.03813
2007-06-30,36161.11015
2007-09-30,39705.83113
2007-12-31,37297.90988
2008-03-31,35191.77691
2008-06-30,36628.28557
2008-09-30,40276.67565
2008-12-31,35035.10243
2009-03-31,31761.98567
2009-06-30,34214.0352
2009-09-30,37883.4049
2009-12-31,35247.17118
2010-03-31,34330.47302
2010-06-30,36405.23312
2010-09-30,42718.08027
2010-12-31,36719.04562
2011-03-31,36903.25926
2011-06-30,40735.65848
2011-09-30,45651.23741
2011-12-31,34606.38003
2012-03-31,29287.85349
2012-06-30,31720.98658
2012-09-30,41360.20419
2012-12-31,35719.17904
2013-03-31,32469.20479
2013-06-30,36618.39514
2013-09-30,44443.81674
2013-12-31,35872.82665
2014-03-31,36907.51992
2014-06-30,36283.16295
2014-09-30,43234.88435
2014-12-31,31748.15916
2015-03-31,27913.52859
2015-06-30,29374.18828
2015-09-30,39010.00381
2015-12-31,25256.56315
2016-03-31,19229.55397
2016-06-30,28172.58656
2016-09-30,40059.83062
2016-12-31,33768.96124
2017-03-31,28224.70092
2017-06-30,33819.93374
2017-09-30,39669.65951
2017-12-31,32934.06373
2018-03-31,24045.01302
2018-06-30,26621.74203
2018-09-30,33009.65576
2018-12-31,28046.23196
2019-03-31,23128.64329
2019-06-30,22282.45498
2019-09-30,26339.30525
2019-12-31,20066.33176
2020-03-31,15112.64098
2020-06-30,18003.42351
2020-09-30,24731.99127
2020-12-31,20977.21885
2021-03-31,19683.1782
2021-06-30,21512.23177
2021-09-30,28108.40151
2021-12-31,19477.78593
