ds,y
2001-03-31,56802.126
2001-06-30,57916.259
2001-09-30,52248.914
2001-12-31,49993.746
2002-03-31,62995.428
2002-06-30,79122.147
2002-09-30,63641.353
2002-12-31,58569.903
2003-03-31,64582.212
2003-06-30,82740.518
2003-09-30,66295.58
2003-12-31,62188.018
2004-03-31,66811.20382
2004-06-30,70160.03796
2004-09-30,65435.50832
2004-12-31,66010.55827
2005-03-31,68815.00628
2005-06-30,77119.85952
2005-09-30,64886.20435
2005-12-31,59500.1848
2006-03-31,76822.94796
2006-06-30,89131.41
2006-09-30,64369.20693
2006-12-31,58922.85078
2007-03-31,68774.79973
2007-06-30,72754.16756
2007-09-30,57160.84575
2007-12-31,48820.16127
2008-03-31,61236.95535
2008-06-30,78632.50659
2008-09-30,62962.55608
2008-12-31,51999.36709
2009-03-31,63129.78097
2009-06-30,84562.85708
2009-09-30,60323.87864
2009-12-31,65428.57749
2010-03-31,63858.56512
2010-06-30,74029.70647
2010-09-30,61901.19997
2010-12-31,60413.59783
2011-03-31,80796.79126
2011-06-30,95932.44692
2011-09-30,78425.80452
2011-12-31,64199.86075
2012-03-31,69297.74257
2012-06-30,81594.37288
2012-09-30,67128.73579
2012-12-31,58219.36806
2013-03-31,65781.35075
2013-06-30,80931.26541
2013-09-30,65849.03941
2013-12-31,56003.72716
2014-03-31,63287.05285
2014-06-30,77727.66939
2014-09-30,60238.9758
2014-12-31,58112.92383
2015-03-31,70705.36467
2015-06-30,63010.47683
2015-09-30,56230.44895
2015-12-31,59133.79438
2016-03-31,77143.43501
2016-06-30,74601.2776
2016-09-30,57392.5541
2016-12-31,58674.88638
2017-03-31,80122.84056
2017-06-30,92591.87636
2017-09-30,67783.85763
2017-12-31,59834.35511
2018-03-31,75826.93821
2018-06-30,86156.92684
2018-09-30,66282.05512
2018-12-31,64258.06866
2019-03-31,74012.33153
2019-06-30,87879.98143
2019-09-30,65979.82595
2019-12-31,60001.5916
2020-03-31,74188.93643
2020-06-30,81169.89887
2020-09-30,68704.14708
2020-12-31,61210.91245
2021-03-31,69011.32019
2021-06-30,66071.23028
2021-09-30,61033.80223
2021-12-31,64108.53265
