ds,y
2001-03-31,0.0
2001-06-30,0.0
2001-09-30,0.0
2001-12-31,0.0
2002-03-31,0.0
2002-06-30,0.0
2002-09-30,0.0
2002-12-31,0.0
2003-03-31,0.0
2003-06-30,0.0
2003-09-30,0.0
2003-12-31,0.0
2004-03-31,0.0
2004-06-30,0.0
2004-09-30,0.0
2004-12-31,0.0
2005-03-31,0.0
2005-06-30,0.0
2005-09-30,0.0
2005-12-31,0.0
2006-03-31,0.0
2006-06-30,0.0
2006-09-30,0.0
2006-12-31,0.0
2007-03-31,0.0
2007-06-30,0.0
2007-09-30,0.0
2007-12-31,0.0
2008-03-31,0.0
2008-06-30,0.0
2008-09-30,0.0
2008-12-31,0.0
2009-03-31,0.0
2009-06-30,0.0
2009-09-30,0.0
2009-12-31,0.0
2010-03-31,0.0
2010-06-30,0.0
2010-09-30,0.0
2010-12-31,0.0
2011-03-31,0.0
2011-06-30,0.0
2011-09-30,0.0
2011-12-31,0.0
2012-03-31,0.0
2012-06-30,0.0
2012-09-30,0.0
2012-12-31,0.0
2013-03-31,0.0
2013-06-30,0.0
2013-09-30,0.0
2013-12-31,0.0
2014-03-31,5098.09614
2014-06-30,8341.07413
2014-09-30,8833.4646
2014-12-31,6651.05502
2015-03-31,7406.94909
2015-06-30,11506.24369
2015-09-30,11816.12227
2015-12-31,8302.85583
2016-03-31,9994.1356
2016-06-30,15288.0583
2016-09-30,17226.35288
2016-12-31,12357.945
2017-03-31,14191.91262
2017-06-30,23912.16865
2017-09-30,23256.74555
2017-12-31,15916.3207
2018-03-31,18091.28628
2018-06-30,29130.43822
2018-09-30,28248.8383
2018-12-31,17894.02631
2019-03-31,20190.93847
2019-06-30,32283.07148
2019-09-30,33402.8858
2019-12-31,21017.37371
2020-03-31,24729.05238
2020-06-30,39580.22731
2020-09-30,39982.81011
2020-12-31,26429.00486
2021-03-31,31168.76469
2021-06-30,49711.46221
2021-09-30,49380.55526
2021-12-31,33442.02185
