ds,y
2001-03-31,1352.612
2001-06-30,1989.358
2001-09-30,1702.427
2001-12-31,1692.934
2002-03-31,2377.436
2002-06-30,3228.373
2002-09-30,2602.974
2002-12-31,2145.495
2003-03-31,2413.819
2003-06-30,3146.293
2003-09-30,2663.879
2003-12-31,2963.474
2004-03-31,3312.23818
2004-06-30,4393.71402
2004-09-30,3304.70417
2004-12-31,3133.08439
2005-03-31,3658.67593
2005-06-30,5240.8576
2005-09-30,4027.32031
2005-12-31,4883.69519
2006-03-31,6663.22353
2006-06-30,6982.21048
2006-09-30,5489.39489
2006-12-31,7454.3081
2007-03-31,8019.19992
2007-06-30,8744.46023
2007-09-30,7724.45868
2007-12-31,9961.80859
2008-03-31,12906.95405
2008-06-30,15705.94235
2008-09-30,10384.25856
2008-12-31,16365.94512
2009-03-31,18902.06258
2009-06-30,19319.07903
2009-09-30,15070.12282
2009-12-31,20594.86727
2010-03-31,20875.27133
2010-06-30,26511.00227
2010-09-30,20515.24843
2010-12-31,26750.72407
2011-03-31,29546.70275
2011-06-30,35178.8867
2011-09-30,21831.25237
2011-12-31,33619.75681
2012-03-31,38709.9154
2012-06-30,37221.51637
2012-09-30,26082.36745
2012-12-31,38807.9155
2013-03-31,44569.74831
2013-06-30,47463.08218
2013-09-30,32401.57838
2013-12-31,43405.33658
2014-03-31,49655.75768
2014-06-30,50035.73313
2014-09-30,33877.6816
2014-12-31,48086.10939
2015-03-31,45391.62061
2015-06-30,48439.75671
2015-09-30,40727.04344
2015-12-31,56160.12694
2016-03-31,60544.03864
2016-06-30,55950.64342
2016-09-30,47611.32344
2016-12-31,62886.55663
2017-03-31,68620.497
2017-06-30,68587.32848
2017-09-30,47910.61905
2017-12-31,69184.25069
2018-03-31,75252.01535
2018-06-30,75086.84077
2018-09-30,54812.68201
2018-12-31,67515.9156
2019-03-31,72696.88134
2019-06-30,77140.66348
2019-09-30,66592.22066
2019-12-31,79452.71801
2020-03-31,86551.68885
2020-06-30,88342.13957
2020-09-30,69081.50766
2020-12-31,93962.71295
2021-03-31,97265.58333
2021-06-30,96344.93459
2021-09-30,76998.43445
2021-12-31,109158.29483
