ds,y
2001-03-31,1104.911
2001-06-30,829.854
2001-09-30,1116.112
2001-12-31,1120.243
2002-03-31,1085.37
2002-06-30,920.971
2002-09-30,1088.49
2002-12-31,867.785
2003-03-31,1130.743
2003-06-30,1136.113
2003-09-30,1056.424
2003-12-31,1120.872
2004-03-31,1150.646
2004-06-30,565.266
2004-09-30,1016.326
2004-12-31,1125.782
2005-03-31,1091.037
2005-06-30,1064.881
2005-09-30,1039.156
2005-12-31,876.473
2006-03-31,1126.96
2006-06-30,1305.965
2006-09-30,1330.188
2006-12-31,1343.41
2007-03-31,1336.75
2007-06-30,921.279
2007-09-30,1098.335
2007-12-31,1347.364
2008-03-31,1359.464
2008-06-30,1303.426
2008-09-30,1220.237
2008-12-31,1011.926
2009-03-31,1335.766
2009-06-30,1323.16
2009-09-30,1337.339
2009-12-31,1364.343
2010-03-31,1338.678
2010-06-30,810.387
2010-09-30,1319.078
2010-12-31,1314.33
2011-03-31,1349.905
2011-06-30,1342.37
2011-09-30,1258.752
2011-12-31,956.328
2012-03-31,1249.73
2012-06-30,1139.903
2012-09-30,1276.811
2012-12-31,1322.894
2013-03-31,945.921
2013-06-30,1251.621
2013-09-30,1280.965
2013-12-31,1367.82
2014-03-31,1320.724
2014-06-30,1322.14
2014-09-30,1312.087
2014-12-31,1105.631
2015-03-31,0.0
2015-06-30,0.0
2015-09-30,0.0
2015-12-31,0.0
2016-03-31,0.0
2016-06-30,0.0
2016-09-30,0.0
2016-12-31,0.0
2017-03-31,0.0
2017-06-30,0.0
2017-09-30,0.0
2017-12-31,0.0
2018-03-31,0.0
2018-06-30,0.0
2018-09-30,0.0
2018-12-31,0.0
2019-03-31,0.0
2019-06-30,0.0
2019-09-30,0.0
2019-12-31,0.0
2020-03-31,0.0
2020-06-30,0.0
2020-09-30,0.0
2020-12-31,0.0
2021-03-31,0.0
2021-06-30,0.0
2021-09-30,0.0
2021-12-31,0.0
