ds,y
2001-03-31,9960.752
2001-06-30,8633.506
2001-09-30,9985.08
2001-12-31,9190.573
2002-03-31,9085.995
2002-06-30,8571.135
2002-09-30,10670.315
2002-12-31,9754.936
2003-03-31,9948.561
2003-06-30,7543.66
2003-09-30,10062.675
2003-12-31,9538.435
2004-03-31,8799.04842
2004-06-30,8135.39949
2004-09-30,9736.59717
2004-12-31,8984.96125
2005-03-31,9538.52635
2005-06-30,7619.8932
2005-09-30,9658.97176
2005-12-31,8607.48393
2006-03-31,9249.0829
2006-06-30,8223.35808
2006-09-30,9025.81736
2006-12-31,7789.88235
2007-03-31,8635.38333
2007-06-30,8512.89342
2007-09-30,9799.91478
2007-12-31,8472.55476
2008-03-31,8957.91192
2008-06-30,7465.08058
2008-09-30,8168.32788
2008-12-31,7185.03557
2009-03-31,7862.45619
2009-06-30,5715.67814
2009-09-30,6194.26575
2009-12-31,5826.88776
2010-03-31,7460.06254
2010-06-30,6662.09485
2010-09-30,6807.32277
2010-12-31,4529.74065
2011-03-31,6064.83576
2011-06-30,5197.36575
2011-09-30,5810.40604
2011-12-31,2808.50589
2012-03-31,3482.02987
2012-06-30,3000.18571
2012-09-30,4612.44122
2012-12-31,3086.13849
2013-03-31,5451.62614
2013-06-30,4478.78392
2013-09-30,5936.08723
2013-12-31,5294.00397
2014-03-31,6766.78411
2014-06-30,3998.04609
2014-09-30,5145.33119
2014-12-31,4908.42293
2015-03-31,5415.89939
2015-06-30,2998.01433
2015-09-30,4970.2631
2015-12-31,3847.24886
2016-03-31,4553.13141
2016-06-30,3680.77184
2016-09-30,4944.72453
2016-12-31,3320.78458
2017-03-31,2914.37122
2017-06-30,2689.23893
2017-09-30,3208.9269
2017-12-31,1913.88539
2018-03-31,2726.16169
2018-06-30,2108.5534
2018-09-30,2752.32151
2018-12-31,1679.2389
2019-03-31,776.84748
2019-06-30,725.18598
2019-09-30,1399.06337
2019-12-31,517.01396
2020-03-31,553.97839
2020-06-30,339.6566
2020-09-30,1938.93417
2020-12-31,930.22591
2021-03-31,1077.37694
2021-06-30,254.9936
2021-09-30,1360.03025
2021-12-31,437.55257
