ds,y
2001-03-31,8.979
2001-06-30,12.936
2001-09-30,3.7510000000000003
2001-12-31,0.671
2002-03-31,6.109
2002-06-30,5.079
2002-09-30,8.225
2002-12-31,2.936
2003-03-31,7.149000000000004
2003-06-30,7.896
2003-09-30,1.8380000000000012
2003-12-31,4.3759999999999994
2004-03-31,8.274000000000001
2004-06-30,0.5339999999999976
2004-09-30,1.3249999999999997
2004-12-31,4.691
2005-03-31,3.445000000000006
2005-06-30,1.8699999999999992
2005-09-30,5.165
2005-12-31,1.4479999999999993
2006-03-31,2.924879999999996
2006-06-30,1.3808000000000007
2006-09-30,1.6354499999999974
2006-12-31,0.8332100000000033
2007-03-31,0.40799
2007-06-30,0.02016
2007-09-30,0.02199
2007-12-31,0.02047
2008-03-31,2.09128
2008-06-30,0.03861
2008-09-30,0.03898
2008-12-31,-0.3596099999999953
2009-03-31,0.27587
2009-06-30,-0.4954800000000099
2009-09-30,0.18721
2009-12-31,-0.33993000000000806
2010-03-31,0.10992
2010-06-30,0.11352
2010-09-30,0.26709
2010-12-31,0.12733
2011-03-31,1.7297900000000135
2011-06-30,2.392939999999986
2011-09-30,2.6351700000000235
2011-12-31,2.7132999999999656
2012-03-31,2.636889999999994
2012-06-30,2.5961399999999912
2012-09-30,2.5001399999999876
2012-12-31,2.8057999999999765
2013-03-31,1.0117500000000064
2013-06-30,0.9858800000000087
2013-09-30,0.9503899999999987
2013-12-31,1.0510000000000446
2014-03-31,1.2256399999999985
2014-06-30,1.298309999999958
2014-09-30,1.00127999999998
2014-12-31,1.0897899999999936
2015-03-31,1.081389999999999
2015-06-30,1.1819700000000353
2015-09-30,1.3928000000000225
2015-12-31,1.3234499999999798
2016-03-31,-3.72914
2016-06-30,-3.07531
2016-09-30,-2.88423
2016-12-31,-2.59234
2017-03-31,-3.357
2017-06-30,-3.694
2017-09-30,-3.289
2017-12-31,-3.406
2018-03-31,-3.35101
2018-06-30,-3.20056
2018-09-30,-3.11132
2018-12-31,-1.89512
2019-03-31,-1.74504
2019-06-30,-1.71008
2019-09-30,-1.46088
2019-12-31,-1.502
2020-03-31,-2.20983
2020-06-30,-2.3592400000000495
2020-09-30,-3.0402499999999986
2020-12-31,-2.7246800000000366
2021-03-31,-2.084730000000068
2021-06-30,-2.6280799999999864
2021-09-30,-2.810090000000013
2021-12-31,-2.4088300000000187
