ds,y
2001-03-31,11861.191
2001-06-30,10581.918
2001-09-30,11014.193
2001-12-31,11319.636
2002-03-31,11281.51
2002-06-30,9490.454
2002-09-30,11520.544
2002-12-31,11491.331
2003-03-31,11462.781
2003-06-30,9721.918
2003-09-30,11252.093
2003-12-31,11189.81
2004-03-31,11448.6813
2004-06-30,9933.05125
2004-09-30,11784.28976
2004-12-31,11641.58214
2005-03-31,11192.75234
2005-06-30,10174.05887
2005-09-30,12219.56153
2005-12-31,11980.93424
2006-03-31,11852.14239
2006-06-30,9530.98675
2006-09-30,12205.15301
2006-12-31,11812.0877
2007-03-31,11022.22962
2007-06-30,10407.25528
2007-09-30,12218.66208
2007-12-31,11985.33941
2008-03-31,12031.01364
2008-06-30,10206.63593
2008-09-30,12299.20228
2008-12-31,11963.59648
2009-03-31,12217.92481
2009-06-30,8905.12297
2009-09-30,11910.60252
2009-12-31,12995.56217
2010-03-31,12329.26139
2010-06-30,10545.68333
2010-09-30,12318.40663
2010-12-31,12925.90249
2011-03-31,12141.52173
2011-06-30,10518.28828
2011-09-30,12089.93865
2011-12-31,12888.72219
2012-03-31,13089.94463
2012-06-30,10157.83428
2012-09-30,12648.01656
2012-12-31,13692.81075
2013-03-31,13483.71441
2013-06-30,11885.26328
2013-09-30,13377.00935
2013-12-31,13737.07836
2014-03-31,13376.14569
2014-06-30,11010.65158
2014-09-30,12739.07317
2014-12-31,12570.31293
2015-03-31,12405.89787
2015-06-30,11488.14312
2015-09-30,12840.78667
2015-12-31,12231.69144
2016-03-31,11888.00976
2016-06-30,9708.52672
2016-09-30,12902.59274
2016-12-31,12157.50092
2017-03-31,11804.74049
2017-06-30,9911.00222
2017-09-30,13168.67084
2017-12-31,11857.4324
2018-03-31,11670.12651
2018-06-30,9672.67948
2018-09-30,12545.2813
2018-12-31,12224.04866
2019-03-31,11679.84955
2019-06-30,8443.63744
2019-09-30,11319.39408
2019-12-31,10702.77528
2020-03-31,10318.60756
2020-06-30,8983.03518
2020-09-30,10862.29727
2020-12-31,11847.04941
2021-03-31,10921.95074
2021-06-30,10027.72793
2021-09-30,11825.81557
2021-12-31,10875.17634
