ds,y
2001-03-31,20.486
2001-06-30,22.283
2001-09-30,23.84
2001-12-31,41.3
2002-03-31,21.126
2002-06-30,21.699
2002-09-30,17.707
2002-12-31,16.016
2003-03-31,0.0
2003-06-30,0.0
2003-09-30,0.0
2003-12-31,0.0
2004-03-31,26.67501
2004-06-30,26.67501
2004-09-30,26.67501
2004-12-31,26.67501
2005-03-31,15.64313
2005-06-30,16.54601
2005-09-30,18.10237
2005-12-31,14.82847
2006-03-31,12.01008
2006-06-30,12.06575
2006-09-30,12.14539
2006-12-31,12.81085
2007-03-31,17.5649
2007-06-30,13.22022
2007-09-30,17.35677
2007-12-31,20.89178
2008-03-31,18.59511
2008-06-30,17.4981
2008-09-30,21.79118
2008-12-31,9.49308
2009-03-31,5.26709
2009-06-30,15.72889
2009-09-30,21.60573
2009-12-31,17.01174
2010-03-31,16.72665
2010-06-30,16.24138
2010-09-30,18.5075
2010-12-31,16.38141
2011-03-31,14.19963
2011-06-30,11.85606
2011-09-30,19.26526
2011-12-31,16.78567
2012-03-31,16.28731
2012-06-30,16.05092
2012-09-30,16.42333
2012-12-31,18.23421
2013-03-31,14.94058
2013-06-30,13.71459
2013-09-30,20.62722
2013-12-31,19.99782
2014-03-31,18.06486
2014-06-30,16.72618
2014-09-30,19.80417
2014-12-31,19.45771
2015-03-31,19.26421
2015-06-30,16.45881
2015-09-30,21.73301
2015-12-31,20.31636
2016-03-31,17.23395
2016-06-30,15.37273
2016-09-30,16.55557
2016-12-31,15.85129
2017-03-31,17.11086
2017-06-30,4.78298
2017-09-30,5.02073
2017-12-31,19.0157
2018-03-31,21.18437
2018-06-30,22.19123
2018-09-30,21.80804
2018-12-31,20.082799999999953
2019-03-31,20.085539999999867
2019-06-30,14.864790000000028
2019-09-30,19.161499999999972
2019-12-31,21.375770000000053
2020-03-31,20.89892999999998
2020-06-30,21.57161999999987
2020-09-30,15.504379999999978
2020-12-31,20.796060000000423
2021-03-31,20.450529999999922
2021-06-30,19.854270000000092
2021-09-30,19.986119999999907
2021-12-31,23.745839999999735
