date,coal,natural_gas
2001-03-31,56.518,6.165
2001-06-30,62.942,7.459
2001-09-30,76.476,12.835
2001-12-31,70.462,8.626
2002-03-31,55.574,8.831
2002-06-30,59.515,13.806
2002-09-30,70.552,22.989
2002-12-31,64.691,8.192
2003-03-31,50.872,10.517
2003-06-30,53.836,17.437
2003-09-30,72.317,25.301
2003-12-31,69.794,11.381
2004-03-31,62.57622,11.05874
2004-06-30,58.87871,13.83226
2004-09-30,76.04462,15.77877
2004-12-31,66.27319,9.53874
2005-03-31,63.63375,8.32092
2005-06-30,56.69497,14.69982
2005-09-30,62.38501,23.1709
2005-12-31,58.36087,11.08001
2006-03-31,56.97373,8.71949
2006-06-30,60.14391,25.60711
2006-09-30,75.10447,31.85036
2006-12-31,59.06683,13.64998
2007-03-31,69.13164,8.1524
2007-06-30,61.23902,21.09861
2007-09-30,76.90232,32.89554
2007-12-31,62.48158,11.84324
2008-03-31,66.78291,16.29259
2008-06-30,57.64899,18.1021
2008-09-30,75.93178,24.76513
2008-12-31,72.99848,15.63137
2009-03-31,57.03672,21.27805
2009-06-30,59.5935,25.41744
2009-09-30,77.03218,34.57371
2009-12-31,66.02315,13.5238
2010-03-31,64.56206,19.94099
2010-06-30,73.4286,25.43733
2010-09-30,81.03141,43.95761
2010-12-31,70.96812,18.41154
2011-03-31,81.15072,24.35986
2011-06-30,66.74521,30.44951
2011-09-30,84.75316,41.90579
2011-12-31,71.17953,21.32952
2012-03-31,79.9454,29.77907
2012-06-30,69.89542,39.70824
2012-09-30,79.33052,46.03065
2012-12-31,65.64966,25.28249
2013-03-31,77.1475,31.15369
2013-06-30,77.11806,24.13348
2013-09-30,96.26532,30.65783
2013-12-31,74.44809,21.12471
2014-03-31,90.95754,22.03978
2014-06-30,82.39905,23.32977
2014-09-30,90.03537,23.35701
2014-12-31,72.45885,17.55081
2015-03-31,54.40586,38.41366
2015-06-30,56.29626,30.08774
2015-09-30,74.2143,37.74989
2015-12-31,39.19269,20.0417
2016-03-31,49.09953,31.41938
2016-06-30,42.13397,43.87946
2016-09-30,83.40649,44.99872
2016-12-31,68.66479,30.89192
2017-03-31,63.02957,27.88984
2017-06-30,55.8283,40.30256
2017-09-30,83.13542,41.41145
2017-12-31,62.56604,32.79871
2018-03-31,60.24111,40.94648
2018-06-30,67.37663,49.15907
2018-09-30,90.45075,48.89243
2018-12-31,83.72135,30.01102
2019-03-31,62.96335,39.49428
2019-06-30,46.92024,42.26815
2019-09-30,74.0217,54.52983
2019-12-31,53.43296,40.62766
2020-03-31,32.98506,38.7158
2020-06-30,29.5087,34.97356
2020-09-30,62.81305,45.4512
2020-12-31,34.49308,30.1101
2021-03-31,57.78376,29.62137
2021-06-30,40.69149,38.28909
2021-09-30,80.33101,45.72286
2021-12-31,35.14832,49.00174
2022-03-31,53.15943787408017,40.50068134459111
2022-06-30,50.12738175602195,45.87368764519475
2022-09-30,67.38293366694379,53.554909382459016
2022-12-31,51.93062569523744,39.00660506988781
2023-03-31,52.88425194618998,42.84245993716958
2023-06-30,49.412699638032535,47.888649897605546
2023-09-30,65.6230809610812,57.53529958958728
2023-12-31,49.3281219876454,40.18440950474
2024-03-31,46.14010392925579,43.75697143701827
2024-06-30,40.67019689197173,48.34650344158625
2024-09-30,63.18762612159455,53.47710430964733
2024-12-31,47.66798240930626,42.60800287398824
