date,all_sources,coal,natural_gas,nuclear,hydro,wind,solar_all,other
2001-03-31,10400.604,5225.804,389.834,3273.983,884.038,0.0,0.0,381.831
2001-06-30,11173.171,5855.163,563.537,3715.836,621.782,0.0,0.0,292.574
2001-09-30,13323.344,7214.921,1057.126,3873.041,554.247,0.0,0.0,391.861
2001-12-31,12294.917,6468.583,696.403,3917.929,488.185,0.0,0.0,445.966
2002-03-31,11117.06,5147.881,620.346,3884.276,944.672,0.0,0.0,468.916
2002-06-30,11414.458,5523.691,1034.591,3432.159,1019.135,0.0,0.0,386.578
2002-09-30,14210.639,6478.911,2238.208,4000.766,1013.084,0.0,0.0,459.908
2002-12-31,10869.484,5947.886,709.813,3241.683,458.938,0.0,0.0,440.495
2003-03-31,11150.774,4737.427,1079.079,4039.112,697.027,0.0,0.0,497.563
2003-06-30,12454.315,5065.003,2038.634,4044.505,817.231,0.0,0.0,458.198
2003-09-30,14825.153,7034.784,2967.225,3536.93,682.052,0.0,0.0,495.293
2003-12-31,11970.858,6666.952,1215.922,3068.869,458.309,0.0,0.0,501.994
2004-03-31,12307.26745,5943.39815,1002.78712,4005.226,740.39358,0.0,0.0,472.12808
2004-06-30,12251.49995,5645.01704,1501.33848,3384.152,1097.50773,0.0,0.0,448.27236
2004-09-30,14605.23286,7378.58219,1715.65331,3984.911,951.21276,0.0,0.0,463.46495
2004-12-31,12763.63195,6386.5653,848.9848,4075.562,854.32494,0.0,0.0,464.46406
2005-03-31,11927.16125,6128.8823,664.91835,3486.666,1168.94577,0.0,0.0,428.06715
2005-06-30,12064.2948,5400.88545,1577.42,3764.603,837.97294,0.0,0.0,426.0796
2005-09-30,13868.8422,5856.75172,2661.62381,4045.004,796.51722,0.0,0.0,436.6337
2005-12-31,9934.2106,5650.62417,1101.69746,2393.298,279.08006,0.0,0.0,460.03538
2006-03-31,11110.68093,5512.69119,801.2312,4039.829,278.43929,0.0,0.0,443.91417
2006-06-30,13858.25423,5767.97694,3132.12237,4051.143,469.54526,0.0,0.0,393.22797
2006-09-30,15785.72212,7233.94807,3894.81407,3776.469,378.41159,0.0,0.0,446.58966
2006-12-31,11414.0457,5668.43366,1454.2181,3365.136,424.16188,0.0,0.0,460.93827
2007-03-31,12822.01294,6601.32788,725.69689,3843.824,1164.11388,0.0,0.0,430.57797
2007-06-30,13028.29044,5822.00637,2550.20323,3452.974,775.06102,0.0,0.0,399.18967
2007-09-30,16511.28388,7314.26246,3890.73661,4063.49,812.29952,0.0,0.0,406.14564
2007-12-31,12234.64832,6006.58316,1197.61411,4125.814,485.27859,0.0,0.0,405.27982
2008-03-31,12734.61285,6397.84402,1796.68497,3352.08,762.5684,0.0,0.0,401.52415
