date,all_sources,coal,natural_gas,nuclear,hydro,wind,solar_all,other
2001-03-31,46847.912,486.494,28537.245,7078.495,4644.881,580.991,0.0,4430.65
2001-06-30,50787.299,621.863,28257.749,7087.395,8195.576,1208.694,0.0,4240.775
2001-09-30,56954.628,632.584,31764.681,9738.403,7839.982,1141.952,0.0,4616.422
2001-12-31,44006.233,491.91,23372.595,9315.227,4861.335,568.101,0.0,4504.098
2002-03-31,43035.231,600.835,20279.596,9342.729,6888.927,551.885,0.0,4840.597
2002-06-30,44273.665,529.617,19171.265,7510.709,9756.152,1444.87,0.0,4658.047
2002-09-30,55386.423,614.39,29209.485,9514.389,8751.033,1214.564,0.0,5027.016
2002-12-31,41514.717,582.966,20963.698,7984.513,5744.516,591.326,0.0,4922.413
2003-03-31,41796.293,587.413,20499.843,6873.324,7852.826,627.963,0.0,4836.94263
2003-06-30,45727.938,489.702,17352.484,9187.107,11536.429,1426.637,0.0,4626.614
2003-09-30,58747.738,640.301,30449.842,9806.975,10350.823,1167.86,0.0,5010.848
2003-12-31,46516.573,608.888,23130.012,9726.383,6630.625,672.97,0.0,4923.17
2004-03-31,45621.49951,627.49709,22148.72402,7606.834,8813.57531,620.01937,0.0,4920.90322
2004-06-30,47433.71785,435.33108,21932.78752,7325.36,10072.66563,1715.75781,0.0,4733.24848
2004-09-30,57780.81264,611.63207,30852.32275,9548.906,9128.79199,1438.36391,0.0,4975.65458
2004-12-31,43944.325,563.34809,25288.39857,5786.787,6125.89636,531.73418,0.0,4892.89452
2005-03-31,43263.16268,506.1344,19998.91043,8550.641,7921.41572,659.1799,0.0,4646.0148
2005-06-30,50161.13024,517.60495,18984.97874,9431.329,13110.01278,1564.0572,0.0,4819.98155
2005-09-30,60145.40443,558.81338,30998.30109,9653.141,10920.88122,1285.75132,0.0,4948.93301
2005-12-31,46723.12072,552.8221,23371.65903,8519.787,7679.55685,753.2406,0.0,4859.88364
2006-03-31,48309.87564,522.01442,20758.07258,7186.478,13099.8018,884.4368,0.0,4714.40784
2006-06-30,53695.23108,499.52181,22195.35412,6932.167,16488.09442,1602.89303,0.0,4413.22044
2006-09-30,65007.73293,616.10468,35224.00665,9954.43,11293.48878,1440.1041,0.0,4975.73801
2006-12-31,49785.84854,597.70102,27513.68286,7885.546,7165.99509,955.36707,0.0,4898.7326
2007-03-31,46466.16109,555.43092,23084.29334,9753.956,6004.87561,981.96656,0.0,4902.89935
2007-06-30,49580.15271,564.96911,24210.628,8557.409,7979.43846,2072.90496,0.0,4545.3068
2007-09-30,63977.39069,617.16934,37201.2378,9690.184,8389.37203,1760.26353,0.0,4878.58538
2007-12-31,50823.87638,560.73622,31204.31124,7790.941,4954.06479,769.79831,0.0,4798.01058
2008-03-31,47451.80601,506.70505,28320.1068,7645.572,4220.48652,983.3585,0.0,4783.93176
2008-06-30,51089.36371,533.55177,25672.69651,8293.629,8696.81464,1886.85929,0.0,4696.56534
2008-09-30,61289.71418,642.31136,35335.25815,8862.539,8471.55991,1754.43231,0.0,4964.99979
2008-12-31,48153.37893,597.83233,30663.67577,7680.611,2738.94855,760.30479,0.0,4853.31498
2009-03-31,44697.07448,509.95105,26222.45313,6670.717,4822.50429,836.93802,0.0,4897.52544
2009-06-30,48768.19198,465.91942,20505.02761,9753.716,9786.11516,2154.02144,0.0,4816.81282
2009-09-30,63778.46835,516.95727,36964.70641,9003.9,8966.74347,2037.13918,0.0,5065.1992
2009-12-31,47532.39744,557.11914,29771.26757,6335.471,4312.67341,811.71461,0.0,5025.60877
2010-03-31,46860.46227,509.06974,28631.13274,6739.479,4813.11832,769.39596,0.0,4850.04592
2010-06-30,48110.50388,536.24063,19583.53518,9123.923,10966.42387,2102.00158,0.0,4738.91574
2010-09-30,59112.02076,561.9871,29781.15436,9997.182,10338.20051,2207.43763,0.0,5050.69877
2010-12-31,50042.60863,492.92381,29526.49119,6340.173,7313.12732,999.79684,0.0,4801.14586
2011-03-31,45888.57652,544.31828,20798.11493,8248.51,9561.33652,1274.91175,0.0,4849.35677
2011-06-30,47175.17273,502.78713,14422.3306,8845.859,14708.51535,3007.73039,0.0,4692.11206
2011-09-30,58460.07115,495.45789,27649.43613,9616.93,12274.67581,2299.99305,0.0,4964.79933
2011-12-31,49281.02208,439.61909,26103.94909,9951.948,6012.93921,1169.20183,0.0,4992.41496
2012-03-31,45493.19276,441.43214,27782.43102,5865.756,3933.45952,1769.68369,0.0,4856.06368
2012-06-30,46836.01912,307.05138,25196.52359,3105.009,8828.92312,3446.41129,0.0,4738.25478
2012-09-30,59082.71427,386.90964,36100.22045,4950.814,8696.11241,2698.56707,0.0,5038.2882
2012-12-31,48106.64042,239.69008,30589.15357,4585.829,5378.87537,1839.56763,0.0,5012.3948
2013-03-31,43689.64903,155.66769,27226.00828,3461.492,4983.72417,2265.20716,0.0,4862.59602
2013-06-30,48235.22874,232.1302,24398.34079,4787.365,7822.501,4921.66013,0.0,4734.00616
2013-09-30,59075.39682,330.05715,35508.1886,4808.307,7587.26139,3867.99758,0.0,5172.66036
2013-12-31,49076.84003,105.31591,32390.32162,4854.779,3361.11292,1767.19555,0.0,4988.6292
2014-03-31,44128.88369,133.04666,29227.77493,3356.477,2492.43253,2385.94016,2350.26973,4792.90132
2014-06-30,48404.06597,218.93583,24565.11253,4952.315,5728.95233,4930.13748,4219.95993,4884.97779
2014-09-30,58906.89172,347.50185,35827.97995,4783.738,5482.3094,3647.16918,4573.88939,5203.13901
2014-12-31,47367.78041,105.27525,30805.56808,3893.448,2827.6459,2029.25076,3461.77633,4959.26167
2015-03-31,40896.60545,78.19163,23944.60525,4783.911,2649.14668,1631.96167,3933.4616,4781.08133
2015-06-30,48730.34483,77.25048,25481.70338,4981.465,3781.32623,4611.38922,6114.33763,4796.63275
2015-09-30,60256.34738,72.44292,36480.60496,4881.592,4972.94427,3783.77422,6369.31449,4928.64088
2015-12-31,46820.56,69.98903,30232.6951,3858.417,2405.08092,2202.43343,4411.54452,4656.39095
2016-03-31,42349.90666,83.93381,21700.06545,4967.655,5378.54962,2523.96585,4763.07392,4289.23277
