date,all_sources,coal,natural_gas,nuclear,hydro,wind,solar_all,other,state
2001-03-31,916139.902,482291.606,124720.004,192120.196,56802.126,1352.612,0.0,18522.086,United States
2001-06-30,906264.47,454879.372,154380.105,185538.569,57916.259,1989.358,0.0,18250.142,United States
2001-09-30,1035075.394,516334.8,211621.086,200933.987,52248.914,1702.427,0.0,19436.79,United States
2001-12-31,879163.883,450450.164,148407.924,190233.556,49993.746,1692.934,0.0,19185.882,United States
2002-03-31,904316.199,458892.491,143935.727,195624.784,62995.428,2377.436,0.0,19273.611,United States
2002-06-30,938545.966,458378.691,165052.664,187841.15,79122.147,3228.373,0.0,20146.067,United States
2002-09-30,1087407.36,528516.458,236555.267,205679.305,63641.353,2602.974,0.0,21941.555,United States
2002-12-31,928182.726,487342.714,145462.089,190918.848,58569.903,2145.495,0.0,20365.739,United States
2003-03-31,945554.943,493297.409,140421.345,190086.214,64582.212,2413.819,0.0,19695.46263,United States
2003-06-30,921994.284,454507.588,149021.297,183158.278,82740.518,3146.293,0.0,19623.343,United States
2003-09-30,1079347.903,532094.143,219277.915,202260.277,66295.58,2663.879,0.0,21667.972,United States
2003-12-31,936288.074,493837.609,141186.983,188227.926,62188.018,2963.474,0.0,20823.054,United States
2004-03-31,969637.63205,496448.93186,148374.43381,198193.225,66811.20382,3312.23818,0.0,20335.2242,United States
2004-06-30,963025.25664,466129.23972,178529.46537,191271.74,70160.03796,4393.71402,0.0,20290.61421,United States
2004-09-30,1081392.93208,523926.08655,224964.70393,208975.58,65435.50832,3304.70417,0.0,21083.77707,United States
2004-12-31,956499.4425,491796.29106,158231.41344,190087.842,66010.55827,3133.08439,0.0,20871.21362,United States
2005-03-31,959080.04539,496444.62125,148147.21643,192313.703,68815.00628,3658.67593,0.0,19935.48243,United States
2005-06-30,968296.14583,471908.19783,182477.78254,184598.749,77119.85952,5240.8576,0.0,20029.38276,United States
2005-09-30,1157432.32804,545320.72711,270961.54735,209190.54,64886.20435,4027.32031,0.0,21446.72816,United States
2005-12-31,970614.23039,499199.4996,159373.70805,195883.373,59500.1848,4883.69519,0.0,20378.02041,United States
2006-03-31,954720.96813,489177.38473,146137.65207,198248.035,76822.94796,6663.22353,0.0,20443.35058,United States
2006-06-30,992733.44513,468129.46692,202736.67155,188734.377,89131.41,6982.21048,0.0,19762.64944,United States
2006-09-30,1150238.65053,538866.15534,287358.52831,210844.916,64369.20693,5489.39489,0.0,21354.49317,United States
2006-12-31,967009.16363,494338.12754,180207.91766,189391.308,58922.85078,7454.3081,0.0,20842.55557,United States
2007-03-31,997232.73213,499153.32414,175300.42412,203536.131,68774.79973,8019.19992,0.0,20182.07649,United States
2007-06-30,996086.69884,477275.70641,208133.99887,191249.053,72754.16756,8744.46023,0.0,19927.5716,United States
2007-09-30,1170417.00338,544579.87677,307352.71706,213068.023,57160.84575,7724.45868,0.0,21269.00269,United States
2007-12-31,993008.2895,495446.67621,205802.65103,198571.546,48820.16127,9961.80859,0.0,21028.27093,United States
2008-03-31,1012733.87573,510285.10213,194812.49275,200581.423,61236.95535,12906.95405,0.0,20130.21917,United States
2008-06-30,1004218.86005,472942.20429,209936.52171,192477.983,78632.50659,15705.94235,0.0,20335.05998,United States
2008-09-30,1129943.185,528666.2966,279130.40151,213989.203,62962.55608,10384.25856,0.0,21183.19005,United States
2008-12-31,972491.83878,473907.64363,199101.1831,199159.826,51999.36709,16365.94512,0.0,20028.78379,United States
2009-03-31,966482.99771,448371.2629,196731.70984,205570.267,63129.78097,18902.06258,0.0,19696.22009,United States
2009-06-30,948501.36854,405694.80175,213509.50178,194538.595,84562.85708,19319.07903,0.0,19746.01304,United States
2009-09-30,1081164.25436,458639.00018,303260.00441,210945.37,60323.87864,15070.12282,0.0,21192.26364,United States
2009-12-31,954182.30588,443199.18815,207477.46449,187800.353,65428.57749,20594.86727,0.0,20795.22982,United States
2010-03-31,992859.53394,470769.95319,203801.47634,202449.432,63858.56512,20875.27133,0.0,20290.59199,United States
2010-06-30,991496.19649,435715.86785,230577.89387,192570.75956,74029.70647,26511.00227,0.0,20703.47745,United States
2010-09-30,1164654.76754,506091.49087,328779.64697,212858.766,61901.19997,20515.24843,0.0,21884.51616,United States
2010-12-31,976049.40097,434712.9666,224538.21651,199089.343,60413.59783,26750.72407,0.0,21285.33536,United States
2011-03-31,994708.4409,443959.06792,206125.43713,203193.489,80796.79126,29546.70275,0.0,20993.76914,United States
2011-06-30,993755.97749,419645.03505,235962.90726,176830.386,95932.44692,35178.8867,0.0,20877.52065,United States
2011-09-30,1163135.38695,488807.50263,331218.45379,210532.27,78425.80452,21831.25237,0.0,22335.58025,United States
2011-12-31,948541.12078,381018.39973,240382.13108,199648.222,64199.86075,33619.75681,0.0,21933.62741,United States
2012-03-31,958005.4647,348488.58348,273621.31939,197956.822,69297.74257,38709.9154,0.0,21277.93087,United States
